iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1200,4,2,20.0,without_chunking,LMM-1,18.0,17.650000000000013,0.6610500485480977
1,1200,4,2,20.0,without_chunking,LMM-2,18.0,17.650000000000013,0.6610500485480977
1,1200,4,2,20.0,with_chunking,LMM-1,16.0,15.750000000000012,0.48568150798901183
1,1200,4,2,20.0,with_chunking,LMM-2,16.0,15.750000000000012,0.48568150798901183
1,1200,4,4,40.0,without_chunking,LMM-1,18.0,17.649999999999974,0.601474429224288
1,1200,4,4,40.0,without_chunking,LMM-2,18.0,17.649999999999974,0.601474429224288
1,1200,4,4,40.0,with_chunking,LMM-1,16.0,15.74999999999998,0.40995071977269787
1,1200,4,4,40.0,with_chunking,LMM-2,16.0,15.74999999999998,0.40995071977269787
1,1200,4,6,60.0,without_chunking,LMM-1,18.0,17.64999999999996,0.5471737055727904
1,1200,4,6,60.0,without_chunking,LMM-2,18.0,17.64999999999996,0.5471737055727904
1,1200,4,6,60.0,with_chunking,LMM-1,16.0,15.749999999999964,0.346088885928885
1,1200,4,6,60.0,with_chunking,LMM-2,16.0,15.749999999999964,0.346088885928885
1,1200,4,8,80.0,without_chunking,LMM-1,18.0,17.64999999999997,0.4976917814728506
1,1200,4,8,80.0,without_chunking,LMM-2,18.0,17.64999999999997,0.4976917814728506
1,1200,4,8,80.0,with_chunking,LMM-1,16.0,15.749999999999975,0.29229806431793637
1,1200,4,8,80.0,with_chunking,LMM-2,16.0,15.749999999999975,0.29229806431793637
1,1200,6,2,20.0,without_chunking,LMM-1,14.0,13.850000000000012,0.7300104255572843
1,1200,6,2,20.0,without_chunking,LMM-2,14.0,13.850000000000012,0.7300104255572843
1,1200,6,2,20.0,with_chunking,LMM-1,14.0,13.850000000000012,0.5362315224922912
1,1200,6,2,20.0,with_chunking,LMM-2,14.0,13.850000000000012,0.5362315224922912
1,1200,6,4,40.0,without_chunking,LMM-1,14.0,13.849999999999985,0.6777535148051896
1,1200,6,4,40.0,without_chunking,LMM-2,14.0,13.849999999999985,0.6777535148051896
1,1200,6,4,40.0,with_chunking,LMM-1,14.0,13.849999999999985,0.461751422006832
1,1200,6,4,40.0,with_chunking,LMM-2,14.0,13.849999999999985,0.461751422006832
1,1200,6,6,60.0,without_chunking,LMM-1,14.0,13.849999999999968,0.6291101368198033
1,1200,6,6,60.0,without_chunking,LMM-2,14.0,13.849999999999968,0.6291101368198033
1,1200,6,6,60.0,with_chunking,LMM-1,14.0,13.849999999999968,0.3976264146163745
1,1200,6,6,60.0,with_chunking,LMM-2,14.0,13.849999999999968,0.3976264146163745
1,1200,6,8,80.0,without_chunking,LMM-1,14.0,13.849999999999977,0.5838410337219806
1,1200,6,8,80.0,without_chunking,LMM-2,14.0,13.849999999999977,0.5838410337219806
1,1200,6,8,80.0,with_chunking,LMM-1,14.0,13.849999999999977,0.34250061963439754
1,1200,6,8,80.0,with_chunking,LMM-2,14.0,13.849999999999977,0.34250061963439754
