iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1200,4,2,20.0,with_chunking,LMM-1,10.25,10.287500000000005,0.7203784376724187
1,1200,4,2,20.0,with_chunking,LMM-2,10.25,10.287500000000005,0.7203784376724187
1,1200,4,4,40.0,with_chunking,LMM-1,10.25,10.28749999999999,0.6844397394580458
1,1200,4,4,40.0,with_chunking,LMM-2,10.25,10.28749999999999,0.6844397394580458
1,1200,4,6,60.0,with_chunking,LMM-1,10.25,10.287499999999978,0.6242874386842312
1,1200,4,6,60.0,with_chunking,LMM-2,10.25,10.287499999999978,0.6242874386842312
1,1200,4,8,80.0,with_chunking,LMM-1,10.25,10.28749999999998,0.588770075452896
1,1200,4,8,80.0,with_chunking,LMM-2,10.25,10.28749999999998,0.588770075452896
1,1200,6,2,20.0,with_chunking,LMM-1,9.166666666666668,9.258333333333336,0.7072116179713801
1,1200,6,2,20.0,with_chunking,LMM-2,9.166666666666668,9.258333333333336,0.7071889303606627
1,1200,6,4,40.0,with_chunking,LMM-1,9.166666666666668,9.258333333333324,0.6759791875654912
1,1200,6,4,40.0,with_chunking,LMM-2,8.916666666666668,9.020833333333323,0.6904556170584822
1,1200,6,6,60.0,with_chunking,LMM-1,9.166666666666666,9.258333333333313,0.6464535726340443
1,1200,6,6,60.0,with_chunking,LMM-2,8.833333333333334,8.941666666666647,0.6674944520766031
1,1200,6,8,80.0,with_chunking,LMM-1,9.166666666666668,9.258333333333315,0.6217987914135787
1,1200,6,8,80.0,with_chunking,LMM-2,8.65625,8.773437499999984,0.6683422501862131
1,1200,8,2,20.0,with_chunking,LMM-1,7.916666666666667,8.070833333333336,0.7511966718032387
1,1200,8,2,20.0,with_chunking,LMM-2,7.666666666666667,7.8333333333333375,0.7619006000882029
1,1200,8,4,40.0,with_chunking,LMM-1,8.0,8.149999999999991,0.6884524647444439
1,1200,8,4,40.0,with_chunking,LMM-2,7.604166666666666,7.773958333333326,0.6859700301507985
1,1200,8,6,60.0,with_chunking,LMM-1,8.055555555555555,8.20277777777776,0.6407580427647039
1,1200,8,6,60.0,with_chunking,LMM-2,7.25,7.437499999999984,0.6959892616248328
1,1200,8,8,80.0,with_chunking,LMM-1,7.916666666666667,8.070833333333319,0.6627908217589917
1,1200,8,8,80.0,with_chunking,LMM-2,7.208333333333334,7.397916666666653,0.6720136622906151
1,1200,10,2,20.0,with_chunking,LMM-1,7.333333333333333,7.51666666666667,0.7670339948198417
1,1200,10,2,20.0,with_chunking,LMM-2,6.875,7.081250000000003,0.7917390632322778
1,1200,10,4,40.0,with_chunking,LMM-1,7.458333333333333,7.635416666666659,0.7009867599764004
1,1200,10,4,40.0,with_chunking,LMM-2,6.875,7.081249999999993,0.7451628154269603
1,1200,10,6,60.0,with_chunking,LMM-1,7.458333333333334,7.63541666666665,0.6657118458709543
1,1200,10,6,60.0,with_chunking,LMM-2,6.541666666666667,6.74930555555554,0.7369878084070498
1,1200,10,8,80.0,with_chunking,LMM-1,7.458333333333333,7.635416666666653,0.6323904920179033
1,1200,10,8,80.0,with_chunking,LMM-2,6.90625,7.110937499999987,0.7029266681378619
2,1201,4,2,20.0,with_chunking,LMM-1,11.0,11.000000000000007,0.7060865110019592
2,1201,4,2,20.0,with_chunking,LMM-2,11.0,11.000000000000007,0.7060865110019592
2,1201,4,4,40.0,with_chunking,LMM-1,11.0,10.99999999999999,0.6644054324922773
2,1201,4,4,40.0,with_chunking,LMM-2,11.0,10.99999999999999,0.6644054324922773
2,1201,4,6,60.0,with_chunking,LMM-1,11.0,10.999999999999977,0.6252259897951341
2,1201,4,6,60.0,with_chunking,LMM-2,11.0,10.999999999999977,0.6252259897951341
2,1201,4,8,80.0,with_chunking,LMM-1,11.0,10.99999999999998,0.6033728670254248
2,1201,4,8,80.0,with_chunking,LMM-2,11.0,10.99999999999998,0.6033728670254248
2,1201,6,2,20.0,with_chunking,LMM-1,10.25,10.287500000000005,0.7364127295658892
2,1201,6,2,20.0,with_chunking,LMM-2,10.25,10.287500000000005,0.7364127295658892
2,1201,6,4,40.0,with_chunking,LMM-1,10.25,10.28749999999999,0.6974750352956353
2,1201,6,4,40.0,with_chunking,LMM-2,10.25,10.28749999999999,0.6974750352956353
2,1201,6,6,60.0,with_chunking,LMM-1,10.25,10.287499999999978,0.6606500629418001
2,1201,6,6,60.0,with_chunking,LMM-2,10.25,10.287499999999978,0.6606500629418001
2,1201,6,8,80.0,with_chunking,LMM-1,10.25,10.28749999999998,0.6412118583342287
2,1201,6,8,80.0,with_chunking,LMM-2,10.25,10.28749999999998,0.6412118583342287
2,1201,8,2,20.0,with_chunking,LMM-1,8.25,8.387500000000003,0.7883646187230017
2,1201,8,2,20.0,with_chunking,LMM-2,8.25,8.387500000000003,0.7883646187230017
2,1201,8,4,40.0,with_chunking,LMM-1,9.0625,9.15937499999999,0.6366407050323265
2,1201,8,4,40.0,with_chunking,LMM-2,8.854166666666666,8.961458333333324,0.6468456274705605
2,1201,8,6,60.0,with_chunking,LMM-1,9.083333333333334,9.179166666666646,0.5791071751846638
2,1201,8,6,60.0,with_chunking,LMM-2,8.625,8.74374999999998,0.6027219833599569
2,1201,8,8,80.0,with_chunking,LMM-1,9.083333333333332,9.17916666666665,0.5388324289889423
2,1201,8,8,80.0,with_chunking,LMM-2,8.520833333333332,8.644791666666652,0.5745088783297919
2,1201,10,2,20.0,with_chunking,LMM-1,7.375,7.556250000000004,0.832880424669199
2,1201,10,2,20.0,with_chunking,LMM-2,7.25,7.4375000000000036,0.8372134216637572
2,1201,10,4,40.0,with_chunking,LMM-1,7.625,7.793749999999992,0.7617602025497446
2,1201,10,4,40.0,with_chunking,LMM-2,7.5,7.674999999999992,0.7695434882773988
