iteration,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,2,LMM-1,4,8.666666666666668,1.1288514320120058,8.783333333333337,1.0724088604114057,0.7364551805667198,0.023801381579439382
1,2,LMM-2,4,8.489583333333334,1.3078206930912883,8.61510416666667,1.2424296584367243,0.7453017578383905,0.033562271983292105
1,4,LMM-1,4,8.71875,1.0782633767879826,8.832812500000005,1.0243502079485836,0.6898068291274995,0.008134935355562116
1,4,LMM-2,4,8.598958333333334,1.2193619368284838,6.393489583333338,0.6864671751928026,0.7118459760910456,0.02250954805237865
1,6,LMM-1,4,8.725694444444445,1.0736917373060382,8.839409722222227,1.0200071504407369,0.6508583197324624,0.010738382150883918
1,6,LMM-2,4,8.434027777777779,1.233821811111343,6.496122685185188,1.014786953426317,0.7021923556454109,0.02157031861584057
1,8,LMM-1,4,8.71875,1.0782633767879826,8.832812500000005,1.024350207948584,0.6246862894085843,0.00934912178419182
1,8,LMM-2,4,8.489583333333334,1.2141115435897059,5.717187500000004,0.8413370525682949,0.6980662861151549,0.024254280708470456
2,2,LMM-1,4,9.21875,1.4640883468903099,9.307812500000004,1.3908839295457955,0.7659360709900123,0.04857515764911095
2,2,LMM-2,4,9.1875,1.5039011769394957,9.278125000000005,1.4287061180925222,0.7670193202386518,0.050080945169668045
2,4,LMM-1,4,9.484375,1.276573018622515,9.560156250000004,1.2127443676913898,0.6941488579199695,0.04697151028377243
2,4,LMM-2,4,9.255208333333334,1.427529963564688,6.273697916666672,0.8274162897063077,0.7455866157883596,0.03152225655185934
2,6,LMM-1,4,9.493055555555555,1.269808329805898,9.568402777777782,1.2063179133156035,0.6509202415115078,0.0533919202452454
2,6,LMM-2,4,9.39236111111111,1.3443689358387259,7.257754629629632,1.26698908479319,0.698711385563612,0.046693737404248335
2,8,LMM-1,4,9.5,1.2596847048192479,9.575000000000005,1.196700469578286,0.6200350267017992,0.053536297064914674
2,8,LMM-2,4,9.341145833333334,1.368897739838669,6.129427083333336,0.8635018100598066,0.7049428395759152,0.04229020305446145
3,2,LMM-1,4,9.484375,1.6493485009028734,9.560156250000006,1.5668810758577314,0.7185526510926319,0.02362390043244987
3,2,LMM-2,4,9.270833333333332,1.838652321976918,9.357291666666672,1.7467197058780735,0.7335071902500649,0.03373039761657653
3,4,LMM-1,4,9.552083333333334,1.5812417654594546,9.62447916666667,1.5021796771864822,0.6817679122559341,0.024612211265045137
3,4,LMM-2,4,9.317708333333334,1.8191553457236684,6.4994791666666725,0.7455210225420101,0.7096263645690098,0.01906992504808354
3,6,LMM-1,4,9.630208333333334,1.5225714240453367,9.69869791666667,1.4464428528430702,0.6351147856607251,0.02292653184813949
3,6,LMM-2,4,9.42013888888889,1.7060558158393468,6.583449074074077,0.876861056370107,0.6990268213906486,0.024287735536681013
3,8,LMM-1,4,9.572916666666666,1.6000691716818578,9.644270833333337,1.520065713097765,0.6039131652236731,0.023469972263583015
3,8,LMM-2,4,9.3828125,1.7389185200456172,5.673046875000004,0.7830111551238567,0.7026505596346426,0.027252273198928346
