iteration,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,2,LMM-1,4,8.25,1.479019945774904,8.387500000000005,1.4050689484861598,0.8524349382955249,0.03659981241332997
1,2,LMM-2,4,7.9375,1.7710784144130942,8.090625000000003,1.6825244936924406,0.8611194579358464,0.044835509401140936
1,4,LMM-1,4,8.25,1.479019945774904,8.387500000000005,1.4050689484861596,0.8295196774559683,0.0408040624125978
1,4,LMM-2,4,8.125,1.58607219255619,7.018750000000004,1.1477049108982669,0.8483500244308861,0.040192391218093954
1,6,LMM-1,4,8.1875,1.3849074878850212,8.328125000000004,1.3156621134907707,0.8144837055349823,0.03344765513218702
1,6,LMM-2,4,8.229166666666668,1.478286122883899,6.423263888888892,1.155468485885704,0.8389910228944402,0.04781416132607052
1,8,LMM-1,4,8.1875,1.3849074878850212,8.328125000000004,1.3156621134907707,0.8006835092242273,0.03932006078819257
1,8,LMM-2,4,8.125,1.58607219255619,5.456250000000003,1.0738547678806478,0.8412442823674647,0.050107022409113376
2,2,LMM-1,4,9.5,1.224744871391589,9.575000000000006,1.1635076278220116,0.8350735331853688,0.029512202016545173
2,2,LMM-2,4,9.375,1.340475661845451,9.456250000000004,1.2734518787531808,0.8374637805444846,0.0323753609368502
2,4,LMM-1,4,9.5,1.224744871391589,9.575000000000005,1.1635076278220102,0.8072432272346698,0.03031853750396655
2,4,LMM-2,4,9.28125,1.4425861109479738,6.867187500000005,0.6337107821938562,0.829107800816834,0.03061768703886348
2,6,LMM-1,4,9.6875,1.2670709332945809,9.753125000000004,1.203717386629853,0.7837184954490445,0.03062053043103316
2,6,LMM-2,4,9.1875,1.554981913078091,7.19479166666667,1.3148393228920217,0.8164912966202049,0.0411622556583087
2,8,LMM-1,4,9.6875,1.2670709332945809,9.753125000000004,1.2037173866298525,0.7595500218359095,0.03195492320530701
2,8,LMM-2,4,9.28125,1.4425861109479738,6.2421875000000036,0.9607672613431153,0.8150425473288133,0.03866615648091629
3,2,LMM-1,4,10.0,2.084166500066633,10.050000000000006,1.979958175063303,0.8316230177193075,0.04762937931079849
3,2,LMM-2,4,9.0625,2.8083302423326213,9.125000000000005,2.687630810769964,0.8525102505222848,0.06552355630636486
3,4,LMM-1,4,10.0,2.084166500066633,10.050000000000004,1.979958175063303,0.8083018873570448,0.05020257026329821
3,4,LMM-2,4,8.78125,3.069984476752285,6.982812500000007,1.2602809629081744,0.8510119658994519,0.06891970886328021
3,6,LMM-1,4,10.0625,2.026195634680916,10.109375000000005,1.9248858529468713,0.79165067099719,0.05738130703401517
3,6,LMM-2,4,8.729166666666666,3.0790369841884004,6.586111111111115,1.6234813059982964,0.845294198123989,0.07002172355376445
3,8,LMM-1,4,10.0625,2.026195634680916,10.109375000000005,1.9248858529468706,0.7713828929987726,0.060935094746626686
3,8,LMM-2,4,8.84375,2.9598550956930305,5.792187500000005,1.41972278736687,0.8443917617431668,0.0690102499117027
