num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,3,11.833333333333334,1.247219128924647,11.791666666666673,1.184858172478416,0.7800001248436789,0.020111186267379566
4,2,LMM-2,3,11.833333333333334,1.247219128924647,11.791666666666673,1.184858172478416,0.7800001248436789,0.020111186267379566
4,4,LMM-1,3,11.833333333333334,1.247219128924647,11.791666666666671,1.1848581724784155,0.7509912923022783,0.019932075422130026
4,4,LMM-2,3,11.833333333333334,1.247219128924647,6.791666666666675,1.1848581724784168,0.7800288213005439,0.020070715705140692
4,6,LMM-1,3,11.75,1.3385315336840842,11.712500000000006,1.2716049569998809,0.732720910387641,0.02862837395742105
4,6,LMM-2,3,11.833333333333334,1.247219128924647,8.82870370370371,0.3944661791960022,0.7583529628615087,0.011773231792603216
4,8,LMM-1,3,11.75,1.3385315336840842,11.712500000000006,1.2716049569998802,0.7083423844204977,0.030826628662859037
4,8,LMM-2,3,11.833333333333334,1.247219128924647,7.416666666666671,0.4538416268063384,0.7590079389293439,0.011973223419291655
6,2,LMM-1,3,9.083333333333334,0.42491829279939874,9.179166666666672,0.40367237815943,0.8371304171717964,0.009521442637735867
6,2,LMM-2,3,9.083333333333334,0.42491829279939874,9.179166666666672,0.40367237815943,0.8371304171717964,0.009521442637735867
6,4,LMM-1,3,9.083333333333334,0.42491829279939874,9.17916666666667,0.4036723781594292,0.8141391030744494,0.013479731487541368
6,4,LMM-2,3,9.083333333333334,0.42491829279939874,7.929166666666672,0.6426129386254902,0.8206978617142252,0.007307864078288408
6,6,LMM-1,3,9.333333333333334,0.7168604389202189,9.416666666666671,0.6810174169742078,0.796327903667613,0.010845823512868445
6,6,LMM-2,3,9.083333333333334,0.42491829279939874,6.956944444444448,0.4036723781594292,0.8155018613446705,0.013319868840393635
6,8,LMM-1,3,9.333333333333334,0.7168604389202189,9.416666666666671,0.6810174169742085,0.7770464191018182,0.010925423163150521
6,8,LMM-2,3,9.083333333333334,0.42491829279939874,6.366666666666672,0.17360555546666367,0.8148246696103573,0.012946034358316148
8,2,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333338,0.6810174169742088,0.863131116556557,0.008275697823547824
8,2,LMM-2,3,7.666666666666667,0.6236095644623235,7.787500000000004,0.6080193253507655,0.8781220872357612,0.016124459973899146
8,4,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333336,0.6810174169742078,0.8406478428118107,0.013843672131835004
8,4,LMM-2,3,7.625,0.6208193510729725,6.497916666666671,0.6690776715416189,0.8686352366714729,0.021192919365203896
8,6,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333336,0.6810174169742078,0.8187636869545186,0.02038469582078514
8,6,LMM-2,3,7.527777777777779,0.7275444918727108,5.8037037037037065,0.45691043627433786,0.8627659476122737,0.028566312857673568
8,8,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333338,0.6810174169742088,0.8043378891213427,0.03326309976741057
8,8,LMM-2,3,7.5,0.7359800721939872,5.025000000000003,0.35750874115187653,0.8629902341088537,0.02884873909512041
10,2,LMM-1,3,7.666666666666667,0.8498365855987975,7.833333333333338,0.807344756318858,0.8785803270282356,0.010434544006278502
10,2,LMM-2,3,6.583333333333333,1.0069204977995476,6.80416666666667,0.9565744729095702,0.9062053560855845,0.02035878241317232
10,4,LMM-1,3,7.666666666666667,0.8498365855987975,7.833333333333337,0.8073447563188578,0.8543081512083722,0.012477137595038929
10,4,LMM-2,3,6.375,0.9736101204623269,6.606250000000003,0.9249296144392108,0.9019311351766541,0.024899051299961474
10,6,LMM-1,3,7.75,0.8897565210026093,7.912500000000004,0.8452686949524791,0.8386579949651832,0.01090150819836456
10,6,LMM-2,3,6.416666666666667,0.757676760943659,5.349537037037039,0.5417370957695117,0.8977479183663926,0.01920400154369751
10,8,LMM-1,3,7.75,0.8897565210026093,7.912500000000004,0.8452686949524788,0.8190952061015538,0.012662009091434114
10,8,LMM-2,3,6.583333333333333,0.7523112535528245,4.512500000000004,0.5632171354519204,0.8974152792707049,0.019683231208583465
