Policy,Iteration,Total Requests,Cache Hit Ratio,Latency,Hop Reduction
FACR,1,8,0.0,7.152557373046875e-07,-3.5
FACR,2,16,0.0,4.6193599700927734e-07,-3.5
FACR,3,24,0.0,3.77496083577474e-07,-3.5
FACR,4,32,0.0,3.3527612686157227e-07,-3.5
FACR,5,40,20.0,4.708766937255859e-07,-2.8
FACR,6,48,33.33333333333333,4.718701044718424e-07,-2.3333333333333335
FACR,7,56,42.857142857142854,4.76837158203125e-07,-2.0
FACR,8,64,37.5,4.3585896492004395e-07,-2.1875
FACR,9,72,44.44444444444444,4.40412097507053e-07,-1.9444444444444442
FACR,10,80,50.0,4.2915344238281256e-07,-1.75
FACR,11,88,45.45454545454545,4.145232113924894e-07,-1.9090909090909092
FACR,12,96,50.0,4.1474898656209313e-07,-1.75
FACR,13,104,53.84615384615385,4.172325134277344e-07,-1.6153846153846154
FACR,14,112,50.0,4.023313522338867e-07,-1.75
FACR,15,120,46.666666666666664,3.8544336954752605e-07,-1.8666666666666667
FACR,16,128,43.75,3.7066638469696045e-07,-1.96875
FACR,17,136,47.05882352941176,3.769117243149701e-07,-1.8529411764705883
FACR,18,144,44.44444444444444,3.675619761149088e-07,-1.9444444444444442
FACR,19,152,47.368421052631575,3.7174475820440993e-07,-1.8421052631578947
FACR,20,160,50.0,3.7401914596557614e-07,-1.75
FACR,21,168,52.38095238095239,3.746577671595982e-07,-1.6666666666666667
FACR,22,176,54.54545454545454,3.752383318814364e-07,-1.5909090909090908
FACR,23,184,52.17391304347826,3.7188115327254584e-07,-1.673913043478261
FACR,24,192,50.0,3.650784492492676e-07,-1.75
FACR,25,200,48.0,3.612041473388672e-07,-1.8199999999999998
FACR,26,208,50.0,3.6565157083364636e-07,-1.75
FACR,27,216,51.85185185185185,3.6866576583297164e-07,-1.6851851851851851
FACR,28,224,53.57142857142857,3.6720718656267443e-07,-1.625
FACR,29,232,55.172413793103445,3.658491989661907e-07,-1.5689655172413794
FACR,30,240,56.666666666666664,3.725290298461914e-07,-1.5166666666666666
FACR,31,248,58.06451612903226,3.739710777036605e-07,-1.467741935483871
FACR,32,256,59.375,3.762543201446533e-07,-1.421875
FACR,33,264,60.60606060606061,3.78399184255889e-07,-1.3787878787878787
FACR,34,272,58.82352941176471,3.7515864652745863e-07,-1.4411764705882353
FACR,35,280,60.0,3.7550926208496093e-07,-1.4
FACR,36,288,58.333333333333336,3.7087334526909723e-07,-1.4583333333333333
FACR,37,296,56.75675675675676,3.6648801855138833e-07,-1.5135135135135136
FACR,38,304,57.89473684210527,3.693919432790656e-07,-1.4736842105263155
FACR,39,312,56.41025641025641,3.660336518898988e-07,-1.5256410256410255
FACR,40,320,57.49999999999999,3.673136234283447e-07,-1.4875000000000003
FACR,41,328,58.536585365853654,3.692580432426639e-07,-1.451219512195122
FACR,42,336,59.523809523809526,3.7181945074172247e-07,-1.4166666666666667
FACR,43,344,60.46511627906976,3.75647877537927e-07,-1.3837209302325584
FACR,44,352,61.36363636363637,3.759156573902477e-07,-1.3522727272727273
FACR,45,360,60.0,3.7484698825412326e-07,-1.4
FACR,46,368,58.69565217391305,3.725290298461914e-07,-1.4456521739130435
FACR,47,376,59.57446808510638,3.7728471958890873e-07,-1.4148936170212765
FACR,48,384,60.416666666666664,3.781169652938843e-07,-1.3854166666666667
FACR,49,392,61.224489795918366,3.8073987376933194e-07,-1.3571428571428572
FACR,50,400,62.0,3.820657730102539e-07,-1.3299999999999998
FACR,51,408,60.78431372549019,3.792491613649855e-07,-1.3725490196078431
FACR,52,416,61.53846153846154,3.80552732027494e-07,-1.3461538461538463
FACR,53,424,62.264150943396224,3.806824954050892e-07,-1.320754716981132
FACR,54,432,62.96296296296296,3.791517681545681e-07,-1.2962962962962963
FACR,55,440,61.81818181818181,3.7659298289905896e-07,-1.3363636363636364
FACR,56,448,60.71428571428571,3.719968455178397e-07,-1.375
FACR,57,456,61.40350877192983,3.7749608357747394e-07,-1.3508771929824561
FACR,58,464,62.06896551724138,4.08497349969272e-07,-1.3275862068965518
FACR,59,472,62.71186440677966,4.1824276164426636e-07,-1.3050847457627117
FACR,60,480,63.33333333333333,4.2418638865153e-07,-1.2833333333333332
FACR,61,488,63.934426229508205,4.245609533591349e-07,-1.2622950819672132
FACR,62,496,64.51612903225806,4.2588480057254916e-07,-1.2419354838709677
FACR,63,504,65.07936507936508,4.266935681539868e-07,-1.222222222222222
FACR,64,512,64.0625,4.2514875531196594e-07,-1.2578125
FACR,65,520,64.61538461538461,4.2594396151029144e-07,-1.2384615384615385
FACR,66,528,65.15151515151516,4.262635202118844e-07,-1.2196969696969697
FACR,67,536,64.17910447761194,4.2257024281060517e-07,-1.2537313432835822
FACR,68,544,64.70588235294117,4.238065551309024e-07,-1.2352941176470589
FACR,69,552,65.21739130434783,4.245751145957173e-07,-1.2173913043478262
FACR,70,560,65.71428571428571,4.2532171521868027e-07,-1.2
FACR,71,568,66.19718309859155,4.256275338186345e-07,-1.1830985915492955
FACR,72,576,66.66666666666666,4.27580542034573e-07,-1.1666666666666667
