Policy,Iteration,Total Requests,Cache Hit Ratio,Latency,Hop Reduction
FIFO,1,8,0.0,6.258487701416016e-07,-3.5
FIFO,2,16,50.0,5.066394805908203e-07,-1.75
FIFO,3,24,33.33333333333333,4.1723251342773443e-07,-2.3333333333333335
FIFO,4,32,25.0,3.5762786865234375e-07,-2.625
FIFO,5,40,20.0,3.218650817871094e-07,-2.8
FIFO,6,48,16.666666666666664,3.228584925333659e-07,-2.9166666666666665
FIFO,7,56,28.57142857142857,3.3208302089146204e-07,-2.5
FIFO,8,64,25.0,3.166496753692627e-07,-2.625
FIFO,9,72,33.33333333333333,2.980232238769531e-07,-2.3333333333333335
FIFO,10,80,30.0,2.8312206268310547e-07,-2.45
FIFO,11,88,27.27272727272727,2.763488075949929e-07,-2.545454545454545
FIFO,12,96,33.33333333333333,2.682209014892578e-07,-2.3333333333333335
FIFO,13,104,38.46153846153847,2.636359288142278e-07,-2.1538461538461537
FIFO,14,112,42.857142857142854,2.5757721492222376e-07,-2.0
FIFO,15,120,40.0,2.5431315104166666e-07,-2.1
FIFO,16,128,37.5,2.4959444999694824e-07,-2.1875
FIFO,17,136,41.17647058823529,2.506901236141429e-07,-2.058823529411765
FIFO,18,144,38.88888888888889,2.5331974029541016e-07,-2.138888888888889
FIFO,19,152,36.84210526315789,2.4626129551937707e-07,-2.210526315789474
FIFO,20,160,40.0,2.4437904357910154e-07,-2.1
FIFO,21,168,38.095238095238095,2.4551437014625183e-07,-2.1666666666666665
FIFO,22,176,36.36363636363637,2.3706392808393997e-07,-2.227272727272727
FIFO,23,184,34.78260869565217,2.3582707280698031e-07,-2.282608695652174
FIFO,24,192,33.33333333333333,2.359350522359212e-07,-2.3333333333333335
FIFO,25,200,36.0,2.3484230041503906e-07,-2.24
FIFO,26,208,34.61538461538461,2.3612609276404748e-07,-2.2884615384615383
FIFO,27,216,37.03703703703704,2.362109996654369e-07,-2.2037037037037037
FIFO,28,224,35.714285714285715,2.3522547313145227e-07,-2.25
FIFO,29,232,37.93103448275862,2.3533558023386987e-07,-2.1724137931034484
FIFO,30,240,40.0,2.3643175760904946e-07,-2.1
FIFO,31,248,41.935483870967744,2.3553448338662425e-07,-2.032258064516129
FIFO,32,256,43.75,2.3655593395233154e-07,-1.96875
FIFO,33,264,42.42424242424242,2.3661237774473248e-07,-2.015151515151515
FIFO,34,272,44.11764705882353,2.3491242352653953e-07,-1.9558823529411762
FIFO,35,280,45.714285714285715,2.3586409432547434e-07,-1.9
FIFO,36,288,47.22222222222222,2.3427936765882703e-07,-1.847222222222222
FIFO,37,296,48.64864864864865,2.3439123823836043e-07,-1.7972972972972971
FIFO,38,304,50.0,2.3449722089265522e-07,-1.75
FIFO,39,312,51.28205128205128,2.3459776853903747e-07,-1.705128205128205
FIFO,40,320,50.0,2.339482307434082e-07,-1.75
FIFO,41,328,51.21951219512195,2.3478414954208746e-07,-1.707317073170732
FIFO,42,336,52.38095238095239,2.341611044747489e-07,-1.6666666666666667
FIFO,43,344,53.48837209302325,2.3218088371809138e-07,-1.627906976744186
FIFO,44,352,54.54545454545454,2.3164532401344992e-07,-1.5909090909090908
FIFO,45,360,53.333333333333336,2.317958407931858e-07,-1.6333333333333333
FIFO,46,368,54.347826086956516,2.3258768993875256e-07,-1.597826086956522
FIFO,47,376,55.319148936170215,2.327117514103017e-07,-1.5638297872340425
FIFO,48,384,54.166666666666664,2.3283064365386963e-07,-1.6041666666666667
FIFO,49,392,55.10204081632652,2.329446831528021e-07,-1.5714285714285714
FIFO,50,400,56.00000000000001,2.3126602172851565e-07,-1.54
FIFO,51,408,54.90196078431373,2.3082190868901271e-07,-1.5784313725490198
FIFO,52,416,53.84615384615385,2.2982175533588116e-07,-1.6153846153846154
FIFO,53,424,52.83018867924528,2.6091089788472877e-07,-1.650943396226415
FIFO,54,432,53.70370370370371,2.5939058374475546e-07,-1.6203703703703707
FIFO,55,440,52.72727272727272,2.665953202681108e-07,-1.6545454545454545
FIFO,56,448,53.57142857142857,2.676887171609061e-07,-1.625
FIFO,57,456,54.385964912280706,2.692665970116331e-07,-1.5964912280701753
FIFO,58,464,55.172413793103445,2.682209014892578e-07,-1.5689655172413794
FIFO,59,472,54.23728813559322,2.7832338365457823e-07,-1.6016949152542372
FIFO,60,480,55.00000000000001,2.8113524119059245e-07,-1.5749999999999997
FIFO,61,488,55.73770491803278,2.814120933657787e-07,-1.5491803278688523
FIFO,62,496,54.83870967741935,2.8071864958732355e-07,-1.5806451612903225
FIFO,63,504,55.55555555555556,2.8666995820545014e-07,-1.5555555555555558
FIFO,64,512,56.25,2.905726432800293e-07,-1.53125
FIFO,65,520,55.38461538461539,2.916042621319111e-07,-1.5615384615384618
FIFO,66,528,56.060606060606055,2.9621702252012316e-07,-1.5378787878787878
FIFO,67,536,55.223880597014926,2.980232238769531e-07,-1.5671641791044777
FIFO,68,544,55.88235294117647,3.0065284055822035e-07,-1.5441176470588238
FIFO,69,552,55.072463768115945,3.019104833188264e-07,-1.572463768115942
FIFO,70,560,55.714285714285715,3.8657869611467634e-07,-1.5500000000000003
FIFO,71,568,56.33802816901409,3.8365243186413407e-07,-1.528169014084507
FIFO,72,576,56.94444444444444,3.8122137387593585e-07,-1.5069444444444442
FIFO,73,584,57.534246575342465,3.788569202161815e-07,-1.4863013698630136
FIFO,74,592,56.75675675675676,3.765563707093934e-07,-1.5135135135135136
FIFO,75,600,56.00000000000001,3.7391980489095053e-07,-1.54
FIFO,76,608,56.57894736842105,3.7174475820440993e-07,-1.519736842105263
FIFO,77,616,57.14285714285714,3.704002925327846e-07,-1.4999999999999998
FIFO,78,624,56.41025641025641,3.679440571711614e-07,-1.5256410256410255
FIFO,79,632,56.9620253164557,3.6705898333199416e-07,-1.5063291139240507
FIFO,80,640,56.25,3.658235073089599e-07,-1.53125
FIFO,81,648,55.55555555555556,3.6461853686674137e-07,-1.5555555555555558
FIFO,82,656,54.87804878048781,3.627160700356088e-07,-1.5792682926829267
FIFO,83,664,54.21686746987952,3.6121850990387335e-07,-1.6024096385542168
FIFO,84,672,54.761904761904766,3.5975660596575055e-07,-1.5833333333333335
FIFO,85,680,54.11764705882353,3.5867971532485064e-07,-1.6058823529411765
FIFO,86,688,54.65116279069767,3.5797440728475884e-07,-1.5872093023255813
FIFO,87,696,55.172413793103445,3.5899809037131826e-07,-1.5689655172413794
FIFO,88,704,54.54545454545454,3.569505431435325e-07,-1.5909090909090908
FIFO,89,712,53.93258426966292,3.5494900821300034e-07,-1.612359550561798
FIFO,90,720,53.333333333333336,3.539853625827365e-07,-1.6333333333333333
FIFO,91,728,53.84615384615385,3.536978920737466e-07,-1.6153846153846154
FIFO,92,736,54.347826086956516,3.5309273263682494e-07,-1.597826086956522
FIFO,93,744,53.76344086021505,3.5185967722246724e-07,-1.618279569892473
FIFO,94,752,53.191489361702125,3.512869489953873e-07,-1.6382978723404258
FIFO,95,760,53.68421052631579,3.5229482148822985e-07,-1.6210526315789473
FIFO,96,768,54.166666666666664,3.514190514882406e-07,-1.6041666666666667
FIFO,97,776,54.63917525773196,3.502540981646666e-07,-1.5876288659793816
FIFO,98,784,55.10204081632652,3.488088140682298e-07,-1.5714285714285714
FIFO,99,792,55.55555555555556,3.479947947492503e-07,-1.5555555555555558
FIFO,100,800,56.00000000000001,3.4630298614501956e-07,-1.54
