Policy,Iteration,Total Requests,Cache Hit Ratio,Latency,Hop Reduction
LFU,1,8,0.0,5.066394805908203e-07,-3.5
LFU,2,16,0.0,4.172325134277344e-07,-3.5
LFU,3,24,0.0,3.377596537272135e-07,-3.5
LFU,4,32,0.0,3.203749656677246e-07,-3.5
LFU,5,40,0.0,2.980232238769531e-07,-3.5
LFU,6,48,16.666666666666664,3.824631373087565e-07,-2.9166666666666665
LFU,7,56,28.57142857142857,3.8743019104003906e-07,-2.5
LFU,8,64,37.5,3.688037395477295e-07,-2.1875
LFU,9,72,33.33333333333333,3.4438239203559027e-07,-2.3333333333333335
LFU,10,80,30.0,3.6358833312988284e-07,-2.45
LFU,11,88,27.27272727272727,3.6033717068758875e-07,-2.545454545454545
LFU,12,96,33.33333333333333,3.948807716369629e-07,-2.3333333333333335
LFU,13,104,38.46153846153847,3.920151637150691e-07,-2.1538461538461537
LFU,14,112,35.714285714285715,3.7891524178641186e-07,-2.25
LFU,15,120,40.0,3.77496083577474e-07,-2.1
LFU,16,128,43.75,3.8370490074157715e-07,-1.96875
LFU,17,136,41.17647058823529,3.769117243149701e-07,-2.058823529411765
LFU,18,144,44.44444444444444,3.7584039900037976e-07,-1.9444444444444442
LFU,19,152,47.368421052631575,3.7488184477153573e-07,-1.8421052631578947
LFU,20,160,50.0,3.978610038757324e-07,-1.75
LFU,21,168,52.38095238095239,4.0587924775623144e-07,-1.6666666666666667
LFU,22,176,50.0,3.955580971457741e-07,-1.75
LFU,23,184,47.82608695652174,3.8872594418733014e-07,-1.826086956521739
LFU,24,192,50.0,3.886719544728597e-07,-1.75
LFU,25,200,48.0,3.826618194580078e-07,-1.8199999999999998
LFU,26,208,50.0,3.8055273202749396e-07,-1.75
LFU,27,216,51.85185185185185,3.77496083577474e-07,-1.6851851851851851
LFU,28,224,50.0,3.746577671595982e-07,-1.75
LFU,29,232,51.724137931034484,3.7407052928003775e-07,-1.6896551724137931
LFU,30,240,50.0,3.7352244059244797e-07,-1.75
LFU,31,248,51.61290322580645,3.7204834722703504e-07,-1.6935483870967745
LFU,32,256,53.125,3.688037395477295e-07,-1.640625
LFU,33,264,51.515151515151516,3.6304647272283385e-07,-1.6969696969696968
LFU,34,272,50.0,3.5762786865234375e-07,-1.75
LFU,35,280,51.42857142857142,3.5677637372698103e-07,-1.7
LFU,36,288,52.77777777777778,3.5514434178670246e-07,-1.652777777777778
LFU,37,296,54.054054054054056,3.5360052778914163e-07,-1.6081081081081083
LFU,38,304,55.26315789473685,3.568435970105623e-07,-1.5657894736842104
LFU,39,312,56.41025641025641,3.5457122020232373e-07,-1.5256410256410255
LFU,40,320,57.49999999999999,3.5315752029418944e-07,-1.4875000000000003
LFU,41,328,56.09756097560976,3.5035900953339367e-07,-1.5365853658536586
LFU,42,336,57.14285714285714,3.505320776076544e-07,-1.4999999999999998
LFU,43,344,58.139534883720934,3.5208325053370275e-07,-1.4651162790697674
LFU,44,352,59.09090909090909,3.508546135642312e-07,-1.4318181818181819
LFU,45,360,57.77777777777777,3.47031487358941e-07,-1.4777777777777776
LFU,46,368,58.69565217391305,3.4531821375307825e-07,-1.4456521739130435
LFU,47,376,59.57446808510638,3.443119373727352e-07,-1.4148936170212765
LFU,48,384,60.416666666666664,3.427267074584961e-07,-1.3854166666666667
LFU,49,392,61.224489795918366,3.4303081278898276e-07,-1.3571428571428572
LFU,50,400,60.0,3.4034252166748047e-07,-1.4
LFU,51,408,60.78431372549019,3.400970907772288e-07,-1.3725490196078431
LFU,52,416,61.53846153846154,3.3871485636784484e-07,-1.3461538461538463
LFU,53,424,62.264150943396224,3.3850939768665236e-07,-1.320754716981132
LFU,54,432,61.111111111111114,3.361039691501194e-07,-1.3611111111111112
LFU,55,440,61.81818181818181,3.370371731844815e-07,-1.3363636363636364
LFU,56,448,60.71428571428571,3.3527612686157227e-07,-1.375
LFU,57,456,61.40350877192983,3.367139582048383e-07,-1.3508771929824561
LFU,58,464,62.06896551724138,3.360468765784954e-07,-1.3275862068965518
LFU,59,472,62.71186440677966,3.3691778021343687e-07,-1.3050847457627117
LFU,60,480,63.33333333333333,3.377596537272135e-07,-1.2833333333333332
LFU,61,488,63.934426229508205,3.380853621686091e-07,-1.2622950819672132
LFU,62,496,62.903225806451616,3.359971507903068e-07,-1.2983870967741935
LFU,63,504,61.904761904761905,3.3255607362777466e-07,-1.3333333333333335
LFU,64,512,60.9375,3.3015385270118713e-07,-1.3671875
LFU,65,520,60.0,3.2874254079965444e-07,-1.4
LFU,66,528,60.60606060606061,3.300832979606859e-07,-1.3787878787878787
LFU,67,536,61.19402985074627,3.3049441095608383e-07,-1.3582089552238805
LFU,68,544,61.76470588235294,3.295786240521599e-07,-1.3382352941176472
LFU,69,552,62.31884057971014,3.282574639804121e-07,-1.318840579710145
LFU,70,560,62.857142857142854,3.2995428357805524e-07,-1.3000000000000003
LFU,71,568,63.38028169014085,3.3076380340146345e-07,-1.2816901408450705
LFU,72,576,63.888888888888886,3.3030907313028973e-07,-1.2638888888888888
LFU,73,584,64.38356164383562,3.306833032059343e-07,-1.2465753424657533
LFU,74,592,64.86486486486487,3.306446848688899e-07,-1.2297297297297298
LFU,75,600,65.33333333333333,3.2981236775716145e-07,-1.2133333333333334
LFU,76,608,65.78947368421053,3.31354768652665e-07,-1.1973684210526316
LFU,77,616,64.93506493506493,3.3053484829989344e-07,-1.227272727272727
LFU,78,624,65.38461538461539,3.3088219471466846e-07,-1.2115384615384615
LFU,79,632,65.82278481012658,3.3046625837495057e-07,-1.1962025316455696
LFU,80,640,66.25,3.30805778503418e-07,-1.18125
LFU,81,648,66.66666666666666,3.3150484532485775e-07,-1.1666666666666667
LFU,82,656,67.07317073170732,3.3145997582412345e-07,-1.152439024390244
LFU,83,664,67.46987951807229,3.339296363922487e-07,-1.1385542168674698
LFU,84,672,67.85714285714286,3.3421175820486884e-07,-1.125
LFU,85,680,68.23529411764706,3.337860107421875e-07,-1.1117647058823528
LFU,86,688,68.6046511627907,3.337167030157045e-07,-1.0988372093023255
LFU,87,696,68.96551724137932,3.3364898857029003e-07,-1.0862068965517242
LFU,88,704,69.31818181818183,3.3256682482632727e-07,-1.0738636363636365
LFU,89,712,68.53932584269663,3.311741218138277e-07,-1.101123595505618
LFU,90,720,68.88888888888889,3.311369154188368e-07,-1.0888888888888888
LFU,91,728,69.23076923076923,3.314280247950292e-07,-1.0769230769230769
LFU,92,736,69.56521739130434,3.320367439933445e-07,-1.0652173913043477
LFU,93,744,68.81720430107528,3.3167100721789944e-07,-1.0913978494623655
LFU,94,752,69.14893617021278,3.3226419002451794e-07,-1.0797872340425532
LFU,95,760,69.47368421052632,3.3315859342876234e-07,-1.068421052631579
LFU,96,768,69.79166666666666,3.3248215913772583e-07,-1.0572916666666667
LFU,97,776,70.10309278350515,3.3120519107150047e-07,-1.0463917525773196
LFU,98,784,70.40816326530613,3.3208302089146204e-07,-1.0357142857142858
LFU,99,792,70.70707070707071,3.323410496567235e-07,-1.0252525252525253
LFU,100,800,71.0,3.319978713989258e-07,-1.015
