Policy,Iteration,Total Requests,Cache Hit Ratio,Latency,Hop Reduction
MRU,1,8,0.0,5.662441253662109e-07,-3.5
MRU,2,16,0.0,4.172325134277344e-07,-3.5
MRU,3,24,33.33333333333333,5.066394805908203e-07,-2.3333333333333335
MRU,4,32,25.0,4.3213367462158203e-07,-2.625
MRU,5,40,40.0,4.3511390686035155e-07,-2.1
MRU,6,48,50.0,4.221995671590169e-07,-1.75
MRU,7,56,42.857142857142854,4.0020261492047987e-07,-2.0
MRU,8,64,50.0,3.91155481338501e-07,-1.75
MRU,9,72,44.44444444444444,3.7087334526909723e-07,-1.9444444444444442
MRU,10,80,50.0,3.665685653686523e-07,-1.75
MRU,11,88,54.54545454545454,3.6575577475807885e-07,-1.5909090909090908
MRU,12,96,50.0,3.60111395517985e-07,-1.75
MRU,13,104,46.15384615384615,3.5075040963979865e-07,-1.8846153846153846
MRU,14,112,50.0,3.5337039402553015e-07,-1.75
MRU,15,120,53.333333333333336,3.516674041748047e-07,-1.6333333333333333
MRU,16,128,56.25,3.520399332046509e-07,-1.53125
MRU,17,136,52.94117647058824,3.4360324635225184e-07,-1.6470588235294117
MRU,18,144,55.55555555555556,3.4438239203559027e-07,-1.5555555555555558
MRU,19,152,57.89473684210527,3.466480656674034e-07,-1.4736842105263155
MRU,20,160,60.0,3.442168235778809e-07,-1.4
MRU,21,168,61.904761904761905,3.4201712835402716e-07,-1.3333333333333335
MRU,22,176,63.63636363636363,3.37308103388006e-07,-1.2727272727272725
MRU,23,184,60.86956521739131,3.3300855885381286e-07,-1.3695652173913044
MRU,24,192,62.5,3.32792599995931e-07,-1.3125
MRU,25,200,64.0,3.2782554626464844e-07,-1.26
MRU,26,208,65.38461538461539,3.3126427577092096e-07,-1.2115384615384615
MRU,27,216,62.96296296296296,3.2672175654658567e-07,-1.2962962962962963
MRU,28,224,64.28571428571429,3.246324402945382e-07,-1.25
MRU,29,232,65.51724137931035,3.2371488110772496e-07,-1.206896551724138
MRU,30,240,66.66666666666666,3.2285849253336585e-07,-1.1666666666666667
MRU,31,248,67.74193548387096,3.2494145054971016e-07,-1.129032258064516
MRU,32,256,65.625,3.213062882423401e-07,-1.203125
MRU,33,264,66.66666666666666,3.224069421941584e-07,-1.1666666666666667
MRU,34,272,64.70588235294117,3.1818361843333523e-07,-1.2352941176470589
MRU,35,280,65.71428571428571,3.16756112234933e-07,-1.2
MRU,36,288,66.66666666666666,3.1458006964789496e-07,-1.1666666666666667
MRU,37,296,67.56756756756756,3.141325873297614e-07,-1.135135135135135
MRU,38,304,68.42105263157895,3.144929283543637e-07,-1.105263157894737
MRU,39,312,66.66666666666666,3.125423040145483e-07,-1.1666666666666667
MRU,40,320,67.5,3.1590461730957035e-07,-1.1375
MRU,41,328,68.29268292682927,3.161953716743283e-07,-1.1097560975609757
MRU,42,336,69.04761904761905,3.157627014886765e-07,-1.0833333333333333
MRU,43,344,69.76744186046511,3.1673631002736644e-07,-1.0581395348837208
MRU,44,352,70.45454545454545,3.1631101261485706e-07,-1.0340909090909092
MRU,45,360,71.11111111111111,3.1524234347873263e-07,-1.011111111111111
MRU,46,368,71.73913043478261,3.1551589136538294e-07,-0.9891304347826086
MRU,47,376,72.3404255319149,3.1641189088212683e-07,-0.9680851063829787
MRU,48,384,70.83333333333334,3.129243850708008e-07,-1.0208333333333333
MRU,49,392,71.42857142857143,3.15661333045181e-07,-1.0
MRU,50,400,70.0,3.147125244140625e-07,-1.05
MRU,51,408,68.62745098039215,3.1263220543954887e-07,-1.0980392156862744
MRU,52,416,69.23076923076923,3.1177814190204327e-07,-1.0769230769230769
MRU,53,424,67.9245283018868,3.0814476732937796e-07,-1.1226415094339621
MRU,54,432,66.66666666666666,3.0630164676242407e-07,-1.1666666666666667
MRU,55,440,67.27272727272727,3.072348507967862e-07,-1.1454545454545455
MRU,56,448,67.85714285714286,3.0653817313058033e-07,-1.125
MRU,57,456,68.42105263157895,3.0795733133951825e-07,-1.105263157894737
MRU,58,464,68.96551724137932,3.103552193477236e-07,-1.0862068965517242
MRU,59,472,69.49152542372882,3.106513265836037e-07,-1.0677966101694916
MRU,60,480,68.33333333333333,3.09447447458903e-07,-1.1083333333333334
MRU,61,488,67.21311475409836,3.082830397809138e-07,-1.1475409836065573
MRU,62,496,66.12903225806451,3.071561936409243e-07,-1.185483870967742
MRU,63,504,66.66666666666666,3.079573313395182e-07,-1.1666666666666667
MRU,64,512,67.1875,3.0687078833580017e-07,-1.1484375
MRU,65,520,67.6923076923077,3.071931692270132e-07,-1.1307692307692307
MRU,66,528,66.66666666666666,3.066026803218957e-07,-1.1666666666666667
MRU,67,536,67.16417910447761,3.0736425029697704e-07,-1.1492537313432836
MRU,68,544,67.64705882352942,3.1686881009270164e-07,-1.1323529411764706
MRU,69,552,68.11594202898551,3.2912129941193957e-07,-1.1159420289855073
MRU,70,560,68.57142857142857,3.3165727342878073e-07,-1.0999999999999999
MRU,71,568,69.01408450704226,3.3538106461645853e-07,-1.084507042253521
MRU,72,576,69.44444444444444,3.3817357487148706e-07,-1.0694444444444444
MRU,73,584,69.86301369863014,3.388483230381796e-07,-1.0547945205479452
MRU,74,592,70.27027027027027,3.399075688542547e-07,-1.0405405405405406
MRU,75,600,70.66666666666667,3.504753112792969e-07,-1.0266666666666666
MRU,76,608,71.05263157894737,4.042920313383403e-07,-1.013157894736842
MRU,77,616,71.42857142857143,4.7064446783685065e-07,-1.0
MRU,78,624,71.7948717948718,4.718701044718424e-07,-0.9871794871794872
MRU,79,632,72.15189873417721,4.7080124480814875e-07,-0.9746835443037974
MRU,80,640,72.5,4.69014048576355e-07,-0.9625000000000001
MRU,81,648,72.8395061728395,4.6763891055260174e-07,-0.9506172839506173
MRU,82,656,73.17073170731707,4.662973124806474e-07,-0.9390243902439024
MRU,83,664,73.49397590361446,4.6462897794792457e-07,-0.9277108433734941
MRU,84,672,73.80952380952381,4.6193599700927734e-07,-0.9166666666666666
MRU,85,680,74.11764705882354,4.6000761144301466e-07,-0.9058823529411765
MRU,86,688,73.25581395348837,4.5708445615546647e-07,-0.936046511627907
MRU,87,696,73.5632183908046,4.559412769887639e-07,-0.9252873563218391
MRU,88,704,73.86363636363636,4.544854164123535e-07,-0.9147727272727273
MRU,89,712,73.03370786516854,4.513879840293627e-07,-0.943820224719101
