Policy,Iteration,Total Requests,Cache Hit Ratio,Latency,Hop Reduction
RandomForest,1,8,0.0,8.344650268554688e-07,-3.5
RandomForest,2,16,50.0,1.1324882507324219e-06,-1.75
RandomForest,3,24,33.33333333333333,8.642673492431641e-07,-2.3333333333333335
RandomForest,4,32,50.0,8.344650268554688e-07,-1.75
RandomForest,5,40,60.0,7.927417755126952e-07,-1.4
RandomForest,6,48,50.0,7.102886835734049e-07,-1.75
RandomForest,7,56,42.857142857142854,1.0686261313302178e-06,-2.0
RandomForest,8,64,37.5,9.685754776000977e-07,-2.1875
RandomForest,9,72,44.44444444444444,9.470515780978733e-07,-1.9444444444444442
RandomForest,10,80,40.0,8.732080459594727e-07,-2.1
RandomForest,11,88,45.45454545454545,8.56139443137429e-07,-1.9090909090909092
RandomForest,12,96,41.66666666666667,7.99695650736491e-07,-2.0416666666666665
RandomForest,13,104,46.15384615384615,7.748603820800781e-07,-1.8846153846153846
RandomForest,14,112,50.0,7.578304835728237e-07,-1.75
RandomForest,15,120,46.666666666666664,7.152557373046875e-07,-1.8666666666666667
RandomForest,16,128,50.0,7.078051567077637e-07,-1.75
RandomForest,17,136,47.05882352941176,6.801941815544577e-07,-1.8529411764705883
RandomForest,18,144,44.44444444444444,6.523397233751084e-07,-1.9444444444444442
RandomForest,19,152,42.10526315789473,6.289858567087274e-07,-2.026315789473684
RandomForest,20,160,40.0,6.064772605895995e-07,-2.1
RandomForest,21,168,38.095238095238095,5.832740238734653e-07,-2.1666666666666665
RandomForest,22,176,40.909090909090914,5.811452865600586e-07,-2.0681818181818183
RandomForest,23,184,39.130434782608695,5.662441253662109e-07,-2.1304347826086953
RandomForest,24,192,41.66666666666667,5.650023619333904e-07,-2.0416666666666665
RandomForest,25,200,44.0,5.650520324707032e-07,-1.96
RandomForest,26,208,46.15384615384615,5.650978821974534e-07,-1.8846153846153846
RandomForest,27,216,48.148148148148145,5.651403356481481e-07,-1.8148148148148147
RandomForest,28,224,50.0,5.641153880528042e-07,-1.75
RandomForest,29,232,51.724137931034484,5.621334602092874e-07,-1.6896551724137931
RandomForest,30,240,53.333333333333336,5.582968393961589e-07,-1.6333333333333333
RandomForest,31,248,54.83870967741935,5.537463772681451e-07,-1.5806451612903225
RandomForest,32,256,56.25,5.513429641723633e-07,-1.53125
RandomForest,33,264,54.54545454545454,5.409573063705906e-07,-1.5909090909090908
RandomForest,34,272,55.88235294117647,5.390714196597828e-07,-1.5441176470588238
RandomForest,35,280,57.14285714285714,5.381447928292411e-07,-1.4999999999999998
RandomForest,36,288,58.333333333333336,5.372696452670627e-07,-1.4583333333333333
RandomForest,37,296,59.45945945945946,5.364418029785156e-07,-1.4189189189189189
RandomForest,38,304,57.89473684210527,5.285990865607011e-07,-1.4736842105263155
RandomForest,39,312,58.97435897435898,5.310926681909806e-07,-1.435897435897436
RandomForest,40,320,60.0,5.304813385009766e-07,-1.4
RandomForest,41,328,60.97560975609756,5.306267156833556e-07,-1.3658536585365855
RandomForest,42,336,59.523809523809526,5.229597999936058e-07,-1.4166666666666667
RandomForest,43,344,60.46511627906976,5.218871804170831e-07,-1.3837209302325584
RandomForest,44,352,61.36363636363637,5.222179672934792e-07,-1.3522727272727273
RandomForest,45,360,60.0,5.145867665608724e-07,-1.4
RandomForest,46,368,60.86956521739131,5.150618760482124e-07,-1.3695652173913044
RandomForest,47,376,61.702127659574465,5.136144922134724e-07,-1.3404255319148937
RandomForest,48,384,62.5,5.128482977549236e-07,-1.3125
RandomForest,49,392,63.26530612244898,5.121133765395807e-07,-1.2857142857142856
RandomForest,50,400,62.0,5.066394805908203e-07,-1.3299999999999998
RandomForest,51,408,60.78431372549019,5.019646064907897e-07,-1.3725490196078431
RandomForest,52,416,59.61538461538461,4.951770489032451e-07,-1.4134615384615385
RandomForest,53,424,60.37735849056604,4.976425530775538e-07,-1.3867924528301887
RandomForest,54,432,59.25925925925925,4.928421091150355e-07,-1.4259259259259258
RandomForest,55,440,60.0,4.936348308216441e-07,-1.4
RandomForest,56,448,58.92857142857143,4.880130290985107e-07,-1.4375
RandomForest,57,456,59.64912280701754,4.888626567104407e-07,-1.412280701754386
RandomForest,58,464,58.620689655172406,4.84030822227741e-07,-1.4482758620689655
RandomForest,59,472,59.32203389830508,4.844140198271154e-07,-1.4237288135593222
RandomForest,60,480,60.0,4.842877388000488e-07,-1.4
RandomForest,61,488,60.65573770491803,4.851427234587123e-07,-1.377049180327869
RandomForest,62,496,61.29032258064516,4.854894453479397e-07,-1.3548387096774193
RandomForest,63,504,60.317460317460316,4.810946328299386e-07,-1.3888888888888888
RandomForest,64,512,60.9375,4.819594323635101e-07,-1.3671875
RandomForest,65,520,60.0,4.77295655470628e-07,-1.4
RandomForest,66,528,59.09090909090909,4.7412785616788e-07,-1.4318181818181819
RandomForest,67,536,59.70149253731343,4.76837158203125e-07,-1.4104477611940298
RandomForest,68,544,58.82352941176471,4.750840804156135e-07,-1.4411764705882353
RandomForest,69,552,57.971014492753625,4.707903101824332e-07,-1.4710144927536233
RandomForest,70,560,58.57142857142858,4.725796835763114e-07,-1.45
