Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,0.0,0.0,0.9
LRU,2,0.0,0.0,0.9
LRU,3,0.0,0.0,0.9
LRU,4,0.0,0.0,0.9
LRU,5,0.0,0.0,0.9
LRU,6,0.0,0.0,0.9
LRU,7,0.0,0.0,0.9
LRU,8,0.0,0.0,0.9
LRU,9,0.0,0.0,0.9
LRU,10,0.0,0.0,0.9
LFU,1,0.0,0.0,0.9
LFU,2,0.0,0.0,0.9
LFU,3,0.0,0.0,0.9
LFU,4,0.0,0.0,0.9
LFU,5,0.0,0.0,0.9
LFU,6,0.0,0.0,0.9
LFU,7,0.0,0.0,0.9
LFU,8,0.0,0.0,0.9
LFU,9,0.0,0.0,0.9
LFU,10,0.0,0.0,0.9
FIFO,1,0.0,0.0,0.9
FIFO,2,0.0,0.0,0.9
FIFO,3,0.0,0.0,0.9
FIFO,4,0.0,0.0,0.9
FIFO,5,0.0,0.0,0.9
FIFO,6,0.0,0.0,0.9
FIFO,7,0.0,0.0,0.9
FIFO,8,0.0,0.0,0.9
FIFO,9,0.0,0.0,0.9
FIFO,10,0.0,0.0,0.9
MRU,1,0.0,0.0,0.9
MRU,2,0.0,0.0,0.9
MRU,3,0.0,0.0,0.9
MRU,4,0.0,0.0,0.9
MRU,5,0.0,0.0,0.9
MRU,6,0.0,0.0,0.9
MRU,7,0.0,0.0,0.9
MRU,8,0.0,0.0,0.9
MRU,9,0.0,0.0,0.9
MRU,10,0.0,0.0,0.9
FACR,1,0.0,0.0,0.9
FACR,2,0.0,0.0,0.9
FACR,3,0.0,0.0,0.9
FACR,4,0.0,0.0,0.9
FACR,5,0.0,0.0,0.9
FACR,6,0.0,0.0,0.9
FACR,7,0.0,0.0,0.9
FACR,8,0.0,0.0,0.9
FACR,9,0.0,0.0,0.9
FACR,10,0.0,0.0,0.9
RandomForest,1,0.0,0.0,0.9
RandomForest,2,0.0,0.0,0.9
RandomForest,3,0.0,0.0,0.9
RandomForest,4,0.0,0.0,0.9
RandomForest,5,0.0,0.0,0.9
RandomForest,6,0.0,0.0,0.9
RandomForest,7,0.0,0.0,0.9
RandomForest,8,0.0,0.0,0.9
RandomForest,9,0.0,0.0,0.9
RandomForest,10,0.0,0.0,0.9
