iteration,num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,4,LMM-1,3,11.093507060351586,0.16787947409745857,24.78808973558273,0.7376143123910812,0.9060520630220071,0.06362442284594606
1,4,LMM-2,3,10.486111111111112,0.31858580254029994,21.91114552450216,0.7247152841071344,0.7979198183247466,0.037403565050673285
1,5,LMM-1,3,9.995898846502227,0.18643323018703406,22.27013666372675,0.36402774799723964,0.9823965974505816,0.004522633681943955
1,5,LMM-2,3,9.216666666666667,0.3965125751123438,18.80021074374574,0.8849239656470096,0.8564192434755274,0.02716968759493115
1,6,LMM-1,3,10.00232737131066,0.18422766030541823,22.06073185422922,0.3547671215241735,0.9832036037764004,0.0043094007736271134
1,6,LMM-2,3,9.452777777777778,0.31712929170027987,19.314528919840566,0.6530158222430181,0.8286577875334261,0.04092181952850539
2,4,LMM-1,3,13.638888888888888,0.30681558381075724,29.922128829409044,0.5685064689934465,0.6962943133189009,0.06572467994235484
2,4,LMM-2,3,12.766666666666666,0.12472191289246506,27.83372973127706,0.07274445675387285,0.7395838016115818,0.0670197251184895
2,5,LMM-1,3,13.638888888888888,0.30681558381075724,29.922128829409044,0.5685064689934465,0.6962943133189009,0.06572467994235484
2,5,LMM-2,3,12.766666666666666,0.12472191289246506,27.83372973127706,0.07274445675387285,0.7395838016115818,0.0670197251184895
2,6,LMM-1,3,11.444444444444445,0.415739709641549,24.8893652235497,0.7366296129156659,0.7386333643951412,0.05703443621027866
2,6,LMM-2,3,11.191666666666668,0.30709209621147127,24.033822988528186,0.5808028143484009,0.7833042200231914,0.05050409052354369
3,4,LMM-1,3,11.206875555557366,0.3043916067019277,23.52736899448801,0.3802290806366444,0.7833131918352558,0.03387156859228678
3,4,LMM-2,3,10.080555555555556,0.3474998889776887,20.631693461386195,0.7641789438781048,0.8237098978969642,0.043318918424275266
3,5,LMM-1,3,10.838734413484488,0.22806397959429037,22.28698550401207,0.2643277188688833,0.7996200932433476,0.034042302669597305
3,5,LMM-2,3,10.422222222222222,0.20652922550490102,21.32295861779249,0.3144727304597131,0.8076918115596176,0.04235159754048933
3,6,LMM-1,3,10.277777777777779,0.20786985482077458,21.099848185240862,0.20215747182858035,0.8093170628923203,0.031485625161663214
3,6,LMM-2,3,9.549999999999999,0.267706306736817,19.278625150758725,0.4459448439953539,0.8509429382778265,0.02938700498968287
