iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,40.0,with_chunking,LMM-1,12.0,20.899654544388518,0.7723171219796908
1,1000,4,2,40.0,with_chunking,LMM-2,12.0,20.899654544388518,0.7723171219796908
1,1000,4,4,40.0,with_chunking,LMM-1,13.0,23.322441314236308,0.5289933789450265
1,1000,4,4,40.0,with_chunking,LMM-2,13.0,13.050710405474351,0.5536401218634331
1,1000,4,6,40.0,with_chunking,LMM-1,12.666666666666666,23.097639722754,0.35090625006877296
1,1000,4,6,40.0,with_chunking,LMM-2,12.666666666666666,20.54791443678779,0.38007617750230177
1,1000,4,8,40.0,with_chunking,LMM-1,13.0,24.222316292841672,0.20173670615524725
1,1000,4,8,40.0,with_chunking,LMM-2,13.0,19.893417385647222,0.24824851058675249
1,1000,6,2,40.0,with_chunking,LMM-1,13.25,22.602776124008408,0.5930920741613409
1,1000,6,2,40.0,with_chunking,LMM-2,13.25,22.602776124008408,0.5930920741613409
1,1000,6,4,40.0,with_chunking,LMM-1,13.0,22.702552852305285,0.29138225323327727
1,1000,6,4,40.0,with_chunking,LMM-2,12.5,16.861256595839723,0.3741509782007264
1,1000,6,6,40.0,with_chunking,LMM-1,12.416666666666666,22.281053854874582,0.17312058879172634
1,1000,6,6,40.0,with_chunking,LMM-2,12.416666666666666,19.512220082027522,0.2198818861131889
1,1000,6,8,40.0,with_chunking,LMM-1,12.75,23.499185758612533,0.049330690972506926
1,1000,6,8,40.0,with_chunking,LMM-2,12.75,19.082817439545465,0.07913319324353751
1,1000,8,2,40.0,with_chunking,LMM-1,11.0,18.843900976807348,0.7120776844535376
1,1000,8,2,40.0,with_chunking,LMM-2,11.0,18.843900976807348,0.7120776844535376
1,1000,8,4,40.0,with_chunking,LMM-1,10.875,18.643987191342802,0.43906415720696396
1,1000,8,4,40.0,with_chunking,LMM-2,11.5,10.603810775897815,0.4083420176908219
1,1000,8,6,40.0,with_chunking,LMM-1,10.916666666666666,19.465855082139644,0.26341575307314896
1,1000,8,6,40.0,with_chunking,LMM-2,10.916666666666666,16.81524766377198,0.3075417898174856
1,1000,8,8,40.0,with_chunking,LMM-1,11.25,20.534861317000367,0.09156222299715479
1,1000,8,8,40.0,with_chunking,LMM-2,10.625,15.000022098725655,0.19987437113481277
1,1000,10,2,40.0,with_chunking,LMM-1,10.5,17.491229292381632,0.69260158798638
1,1000,10,2,40.0,with_chunking,LMM-2,10.5,17.491229292381632,0.69260158798638
1,1000,10,4,40.0,with_chunking,LMM-1,10.75,18.342600187629866,0.41096520611472415
1,1000,10,4,40.0,with_chunking,LMM-2,10.5,9.308688163753336,0.4495864497539826
1,1000,10,6,40.0,with_chunking,LMM-1,9.833333333333334,17.199147566419597,0.2614065637364864
1,1000,10,6,40.0,with_chunking,LMM-2,9.333333333333334,13.980355920040694,0.34637569677918845
1,1000,10,8,40.0,with_chunking,LMM-1,10.25,18.43248052198421,0.09434320467085032
1,1000,10,8,40.0,with_chunking,LMM-2,10.75,14.869285984692818,0.13660668338308057
2,1001,4,2,40.0,with_chunking,LMM-1,10.75,19.049189984142203,0.6906026114779668
2,1001,4,2,40.0,with_chunking,LMM-2,10.75,19.049189984142203,0.6906026114779668
2,1001,4,4,40.0,with_chunking,LMM-1,10.75,19.486610125321505,0.43006953622534017
2,1001,4,4,40.0,with_chunking,LMM-2,10.75,14.64105290161892,0.4439969447264384
2,1001,4,6,40.0,with_chunking,LMM-1,10.583333333333334,19.495811530679216,0.2510006995473366
2,1001,4,6,40.0,with_chunking,LMM-2,10.583333333333334,16.94419418263521,0.28864255440414227
2,1001,4,8,40.0,with_chunking,LMM-1,10.9375,20.527718525854972,0.15140369435490106
2,1001,4,8,40.0,with_chunking,LMM-2,10.9375,16.33154271663328,0.18911642290820768
2,1001,6,2,40.0,with_chunking,LMM-1,9.25,15.955257930471552,0.7430773889794323
2,1001,6,2,40.0,with_chunking,LMM-2,9.25,15.955257930471552,0.7430773889794323
2,1001,6,4,40.0,with_chunking,LMM-1,8.75,15.454260716626194,0.5288217494000728
2,1001,6,4,40.0,with_chunking,LMM-2,8.75,15.454260716626194,0.5288217494000728
2,1001,6,6,40.0,with_chunking,LMM-1,9.083333333333334,16.17945362329559,0.3391787607185397
2,1001,6,6,40.0,with_chunking,LMM-2,9.083333333333334,13.709961657820946,0.3775540478349598
2,1001,6,8,40.0,with_chunking,LMM-1,8.875,16.20986491836991,0.20549105601562895
2,1001,6,8,40.0,with_chunking,LMM-2,8.875,12.110704913745392,0.24742837347798124
2,1001,8,2,40.0,with_chunking,LMM-1,10.0,17.45946655075563,0.654339774088434
2,1001,8,2,40.0,with_chunking,LMM-2,10.0,17.457087732635987,0.6546932623939832
2,1001,8,4,40.0,with_chunking,LMM-1,8.75,15.18965233066857,0.469691727078659
2,1001,8,4,40.0,with_chunking,LMM-2,8.25,14.234299277829404,0.5083309554740713
2,1001,8,6,40.0,with_chunking,LMM-1,9.083333333333334,16.166597063696496,0.27080230256589993
2,1001,8,6,40.0,with_chunking,LMM-2,8.833333333333334,13.41242076026145,0.3057641421091057
2,1001,8,8,40.0,with_chunking,LMM-1,9.125,16.42450468210428,0.15792495582545266
2,1001,8,8,40.0,with_chunking,LMM-2,9.0,12.099236112073548,0.20930207784368535
2,1001,10,2,40.0,with_chunking,LMM-1,6.75,11.437034922546818,0.7903103340712945
2,1001,10,2,40.0,with_chunking,LMM-2,6.5,10.996457113666281,0.7992747669777582
2,1001,10,4,40.0,with_chunking,LMM-1,10.25,18.246600232293584,0.3738656396605278
2,1001,10,4,40.0,with_chunking,LMM-2,10.25,14.085167593450592,0.3905698572048426
2,1001,10,6,40.0,with_chunking,LMM-1,7.0,12.213567094436124,0.4041913868862426
2,1001,10,6,40.0,with_chunking,LMM-2,6.0,10.276101775856693,0.5039292255181053
2,1001,10,8,40.0,with_chunking,LMM-1,8.5625,15.414156583507157,0.16528941424613836
2,1001,10,8,40.0,with_chunking,LMM-2,8.5,11.270970530624584,0.21759669022239186
3,1002,4,2,40.0,with_chunking,LMM-1,17.0,29.74901298532702,0.682493900966585
3,1002,4,2,40.0,with_chunking,LMM-2,17.0,29.74901298532702,0.682493900966585
3,1002,4,4,40.0,with_chunking,LMM-1,18.0,32.79200487811478,0.3616613502060517
3,1002,4,4,40.0,with_chunking,LMM-2,18.0,22.283927143127844,0.39848776023720506
3,1002,4,6,40.0,with_chunking,LMM-1,17.0,31.574415478669263,0.19578472900980273
3,1002,4,6,40.0,with_chunking,LMM-2,17.0,28.64413580766428,0.23649232917437726
3,1002,4,8,40.0,with_chunking,LMM-1,17.5,33.525775920097765,0.0757268835913322
3,1002,4,8,40.0,with_chunking,LMM-2,17.5,28.657936954638195,0.1172359320042773
3,1002,6,2,40.0,with_chunking,LMM-1,15.0,26.261383382693083,0.719137301560418
3,1002,6,2,40.0,with_chunking,LMM-2,15.0,26.261383382693083,0.719137301560418
3,1002,6,4,40.0,with_chunking,LMM-1,13.0,23.71219852473071,0.4959083258897633
3,1002,6,4,40.0,with_chunking,LMM-2,13.0,18.39298863328313,0.5206670490325878
3,1002,6,6,40.0,with_chunking,LMM-1,15.0,27.748132686754023,0.2526940480960407
3,1002,6,6,40.0,with_chunking,LMM-2,15.0,24.914045688325043,0.29782308157326604
3,1002,6,8,40.0,with_chunking,LMM-1,13.5,26.085898537631888,0.14249691688443494
3,1002,6,8,40.0,with_chunking,LMM-2,13.5,21.395132773840285,0.1983621269811123
3,1002,8,2,40.0,with_chunking,LMM-1,12.5,21.852550292363723,0.7621297115530699
3,1002,8,2,40.0,with_chunking,LMM-2,12.5,21.852550292363723,0.7621297115530699
3,1002,8,4,40.0,with_chunking,LMM-1,16.0,28.381323520222303,0.44905457349812367
3,1002,8,4,40.0,with_chunking,LMM-2,16.0,18.032451876544734,0.4806506530859461
3,1002,8,6,40.0,with_chunking,LMM-1,12.5,22.548545926632602,0.36544913822113895
