iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,40.0,with_chunking,LMM-1,12.0,20.899654544388518,0.7723171219796908
1,1000,4,2,40.0,with_chunking,LMM-2,12.0,20.899654544388518,0.7723171219796908
1,1000,4,4,40.0,with_chunking,LMM-1,13.0,23.322441314236308,0.5289933789450265
1,1000,4,4,40.0,with_chunking,LMM-2,13.0,13.050710405474351,0.5536401218634331
1,1000,4,6,40.0,with_chunking,LMM-1,12.666666666666666,23.097639722754,0.35090625006877296
1,1000,4,6,40.0,with_chunking,LMM-2,12.666666666666666,20.54791443678779,0.38007617750230177
1,1000,4,8,40.0,with_chunking,LMM-1,13.0,24.222316292841672,0.20173670615524725
1,1000,4,8,40.0,with_chunking,LMM-2,13.0,19.893417385647222,0.24824851058675249
1,1000,6,2,40.0,with_chunking,LMM-1,13.25,22.602776124008408,0.5930920741613409
1,1000,6,2,40.0,with_chunking,LMM-2,13.25,22.602776124008408,0.5930920741613409
1,1000,6,4,40.0,with_chunking,LMM-1,13.0,22.702552852305285,0.29138225323327727
1,1000,6,4,40.0,with_chunking,LMM-2,12.5,16.861256595839723,0.3741509782007264
1,1000,6,6,40.0,with_chunking,LMM-1,12.416666666666666,22.281053854874582,0.17312058879172634
1,1000,6,6,40.0,with_chunking,LMM-2,12.416666666666666,19.512220082027522,0.2198818861131889
1,1000,6,8,40.0,with_chunking,LMM-1,12.75,23.499185758612533,0.049330690972506926
1,1000,6,8,40.0,with_chunking,LMM-2,12.75,19.082817439545465,0.07913319324353751
1,1000,8,2,40.0,with_chunking,LMM-1,11.0,18.843900976807348,0.7120776844535376
1,1000,8,2,40.0,with_chunking,LMM-2,11.0,18.843900976807348,0.7120776844535376
1,1000,8,4,40.0,with_chunking,LMM-1,10.875,18.643987191342802,0.43906415720696396
1,1000,8,4,40.0,with_chunking,LMM-2,11.5,10.603810775897815,0.4083420176908219
1,1000,8,6,40.0,with_chunking,LMM-1,10.916666666666666,19.465855082139644,0.26341575307314896
1,1000,8,6,40.0,with_chunking,LMM-2,10.916666666666666,16.81524766377198,0.3075417898174856
1,1000,8,8,40.0,with_chunking,LMM-1,11.25,20.534861317000367,0.09156222299715479
1,1000,8,8,40.0,with_chunking,LMM-2,10.625,15.000022098725655,0.19987437113481277
1,1000,10,2,40.0,with_chunking,LMM-1,10.5,17.491229292381632,0.69260158798638
1,1000,10,2,40.0,with_chunking,LMM-2,10.5,17.491229292381632,0.69260158798638
1,1000,10,4,40.0,with_chunking,LMM-1,10.75,18.342600187629866,0.41096520611472415
1,1000,10,4,40.0,with_chunking,LMM-2,10.5,9.308688163753336,0.4495864497539826
1,1000,10,6,40.0,with_chunking,LMM-1,9.833333333333334,17.199147566419597,0.2614065637364864
1,1000,10,6,40.0,with_chunking,LMM-2,9.333333333333334,13.980355920040694,0.34637569677918845
1,1000,10,8,40.0,with_chunking,LMM-1,10.25,18.43248052198421,0.09434320467085032
1,1000,10,8,40.0,with_chunking,LMM-2,10.75,14.869285984692818,0.13660668338308057
2,1000,4,2,40.0,with_chunking,LMM-1,12.0,20.899654544388518,0.7723171219796908
2,1000,4,2,40.0,with_chunking,LMM-2,12.0,20.899654544388518,0.7723171219796908
2,1000,4,4,40.0,with_chunking,LMM-1,13.0,23.322441314236308,0.5289933789450265
2,1000,4,4,40.0,with_chunking,LMM-2,13.0,13.050710405474351,0.5536401218634331
2,1000,4,6,40.0,with_chunking,LMM-1,12.666666666666666,23.097639722754,0.35090625006877296
2,1000,4,6,40.0,with_chunking,LMM-2,12.666666666666666,20.54791443678779,0.38007617750230177
2,1000,4,8,40.0,with_chunking,LMM-1,13.0,24.222316292841672,0.20173670615524725
2,1000,4,8,40.0,with_chunking,LMM-2,13.0,19.893417385647222,0.24824851058675249
2,1000,6,2,40.0,with_chunking,LMM-1,13.25,22.602776124008408,0.5930920741613409
2,1000,6,2,40.0,with_chunking,LMM-2,13.25,22.602776124008408,0.5930920741613409
2,1000,6,4,40.0,with_chunking,LMM-1,13.0,22.702552852305285,0.29138225323327727
2,1000,6,4,40.0,with_chunking,LMM-2,12.5,16.861256595839723,0.3741509782007264
2,1000,6,6,40.0,with_chunking,LMM-1,12.416666666666666,22.281053854874582,0.17312058879172634
2,1000,6,6,40.0,with_chunking,LMM-2,12.416666666666666,19.512220082027522,0.2198818861131889
2,1000,6,8,40.0,with_chunking,LMM-1,12.75,23.499185758612533,0.049330690972506926
2,1000,6,8,40.0,with_chunking,LMM-2,12.75,19.082817439545465,0.07913319324353751
2,1000,8,2,40.0,with_chunking,LMM-1,11.0,18.843900976807348,0.7120776844535376
2,1000,8,2,40.0,with_chunking,LMM-2,11.0,18.843900976807348,0.7120776844535376
2,1000,8,4,40.0,with_chunking,LMM-1,10.875,18.643987191342802,0.43906415720696396
2,1000,8,4,40.0,with_chunking,LMM-2,11.5,10.603810775897815,0.4083420176908219
2,1000,8,6,40.0,with_chunking,LMM-1,10.916666666666666,19.465855082139644,0.26341575307314896
2,1000,8,6,40.0,with_chunking,LMM-2,10.916666666666666,16.81524766377198,0.3075417898174856
2,1000,8,8,40.0,with_chunking,LMM-1,11.25,20.534861317000367,0.09156222299715479
2,1000,8,8,40.0,with_chunking,LMM-2,10.625,15.000022098725655,0.19987437113481277
2,1000,10,2,40.0,with_chunking,LMM-1,10.5,17.491229292381632,0.69260158798638
2,1000,10,2,40.0,with_chunking,LMM-2,10.5,17.491229292381632,0.69260158798638
2,1000,10,4,40.0,with_chunking,LMM-1,10.75,18.342600187629866,0.41096520611472415
2,1000,10,4,40.0,with_chunking,LMM-2,10.5,9.308688163753336,0.4495864497539826
2,1000,10,6,40.0,with_chunking,LMM-1,9.833333333333334,17.199147566419597,0.2614065637364864
2,1000,10,6,40.0,with_chunking,LMM-2,9.333333333333334,13.980355920040694,0.34637569677918845
2,1000,10,8,40.0,with_chunking,LMM-1,10.25,18.43248052198421,0.09434320467085032
2,1000,10,8,40.0,with_chunking,LMM-2,10.75,14.869285984692818,0.13660668338308057
