iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,40.0,without_chunking,LMM-1,12.0,20.899654544388518,0.7723171219796908
1,1000,4,2,40.0,without_chunking,LMM-2,12.0,20.899654544388518,0.7723171219796908
1,1000,4,4,40.0,without_chunking,LMM-1,13.0,23.322441314236308,0.5289933789450265
1,1000,4,4,40.0,without_chunking,LMM-2,13.0,13.050710405474351,0.5536401218634331
1,1000,4,6,40.0,without_chunking,LMM-1,12.666666666666666,23.097639722754,0.35090625006877296
1,1000,4,6,40.0,without_chunking,LMM-2,12.666666666666666,20.54791443678779,0.38007617750230177
1,1000,4,8,40.0,without_chunking,LMM-1,13.0,24.222316292841672,0.20173670615524725
1,1000,4,8,40.0,without_chunking,LMM-2,13.0,19.893417385647222,0.24824851058675249
1,1000,6,2,40.0,without_chunking,LMM-1,15.5,25.922158888092035,0.753469281810205
1,1000,6,2,40.0,without_chunking,LMM-2,15.5,25.922158888092035,0.753469281810205
1,1000,6,4,40.0,without_chunking,LMM-1,13.5,23.318887483493857,0.5295385546477788
1,1000,6,4,40.0,without_chunking,LMM-2,13.5,18.080212730520522,0.5519213275824254
1,1000,6,6,40.0,without_chunking,LMM-1,14.166666666666666,24.73430474780533,0.34064543222972926
1,1000,6,6,40.0,without_chunking,LMM-2,14.166666666666666,21.994326515254965,0.3918607673128443
1,1000,6,8,40.0,without_chunking,LMM-1,13.75,24.374227667009954,0.22944561707383987
1,1000,6,8,40.0,without_chunking,LMM-2,13.75,20.13314691974553,0.27685752464402474
1,1000,8,2,40.0,without_chunking,LMM-1,11.5,19.444940401715726,0.8073802508923076
1,1000,8,2,40.0,without_chunking,LMM-2,11.5,19.444940401715726,0.8073802508923076
1,1000,8,4,40.0,without_chunking,LMM-1,11.5,19.43765874173407,0.6301911689341311
1,1000,8,4,40.0,without_chunking,LMM-2,11.5,14.279392686984243,0.6477316237995656
1,1000,8,6,40.0,without_chunking,LMM-1,11.5,19.832424607155204,0.46642543326615105
1,1000,8,6,40.0,without_chunking,LMM-2,11.5,17.40378926842602,0.4926460859318013
1,1000,8,8,40.0,without_chunking,LMM-1,11.5,20.054765617169608,0.3274847743380556
1,1000,8,8,40.0,without_chunking,LMM-2,11.5,15.963507350061104,0.3747647035265306
1,1000,10,2,40.0,without_chunking,LMM-1,12.5,20.456442119737673,0.8193196081376035
1,1000,10,2,40.0,without_chunking,LMM-2,12.5,20.456442119737673,0.8193196081376035
1,1000,10,4,40.0,without_chunking,LMM-1,11.5,19.577674114120153,0.6151073037728801
1,1000,10,4,40.0,without_chunking,LMM-2,11.5,14.42078401045461,0.6320323499126647
1,1000,10,6,40.0,without_chunking,LMM-1,9.5,15.97721961490234,0.6008929648202356
1,1000,10,6,40.0,without_chunking,LMM-2,11.5,16.945934439359714,0.5367670590841798
1,1000,10,8,40.0,without_chunking,LMM-1,12.0,20.731834589785326,0.3135275965144598
1,1000,10,8,40.0,without_chunking,LMM-2,10.5,14.008455410901052,0.4437868788129666
2,1000,4,2,40.0,without_chunking,LMM-1,12.0,20.899654544388518,0.7723171219796908
2,1000,4,2,40.0,without_chunking,LMM-2,12.0,20.899654544388518,0.7723171219796908
2,1000,4,4,40.0,without_chunking,LMM-1,13.0,23.322441314236308,0.5289933789450265
2,1000,4,4,40.0,without_chunking,LMM-2,13.0,13.050710405474351,0.5536401218634331
2,1000,4,6,40.0,without_chunking,LMM-1,12.666666666666666,23.097639722754,0.35090625006877296
2,1000,4,6,40.0,without_chunking,LMM-2,12.666666666666666,20.54791443678779,0.38007617750230177
2,1000,4,8,40.0,without_chunking,LMM-1,13.0,24.222316292841672,0.20173670615524725
2,1000,4,8,40.0,without_chunking,LMM-2,13.0,19.893417385647222,0.24824851058675249
2,1000,6,2,40.0,without_chunking,LMM-1,15.5,25.922158888092035,0.753469281810205
2,1000,6,2,40.0,without_chunking,LMM-2,15.5,25.922158888092035,0.753469281810205
2,1000,6,4,40.0,without_chunking,LMM-1,13.5,23.318887483493857,0.5295385546477788
2,1000,6,4,40.0,without_chunking,LMM-2,13.5,18.080212730520522,0.5519213275824254
2,1000,6,6,40.0,without_chunking,LMM-1,14.166666666666666,24.73430474780533,0.34064543222972926
2,1000,6,6,40.0,without_chunking,LMM-2,14.166666666666666,21.994326515254965,0.3918607673128443
2,1000,6,8,40.0,without_chunking,LMM-1,13.75,24.374227667009954,0.22944561707383987
2,1000,6,8,40.0,without_chunking,LMM-2,13.75,20.13314691974553,0.27685752464402474
2,1000,8,2,40.0,without_chunking,LMM-1,11.5,19.444940401715726,0.8073802508923076
2,1000,8,2,40.0,without_chunking,LMM-2,11.5,19.444940401715726,0.8073802508923076
2,1000,8,4,40.0,without_chunking,LMM-1,11.5,19.43765874173407,0.6301911689341311
2,1000,8,4,40.0,without_chunking,LMM-2,11.5,14.279392686984243,0.6477316237995656
2,1000,8,6,40.0,without_chunking,LMM-1,11.5,19.832424607155204,0.46642543326615105
2,1000,8,6,40.0,without_chunking,LMM-2,11.5,17.40378926842602,0.4926460859318013
2,1000,8,8,40.0,without_chunking,LMM-1,11.5,20.054765617169608,0.3274847743380556
2,1000,8,8,40.0,without_chunking,LMM-2,11.5,15.963507350061104,0.3747647035265306
2,1000,10,2,40.0,without_chunking,LMM-1,12.5,20.456442119737673,0.8193196081376035
2,1000,10,2,40.0,without_chunking,LMM-2,12.5,20.456442119737673,0.8193196081376035
2,1000,10,4,40.0,without_chunking,LMM-1,11.5,19.577674114120153,0.6151073037728801
2,1000,10,4,40.0,without_chunking,LMM-2,11.5,14.42078401045461,0.6320323499126647
2,1000,10,6,40.0,without_chunking,LMM-1,9.5,15.97721961490234,0.6008929648202356
2,1000,10,6,40.0,without_chunking,LMM-2,11.5,16.945934439359714,0.5367670590841798
2,1000,10,8,40.0,without_chunking,LMM-1,12.0,20.731834589785326,0.3135275965144598
2,1000,10,8,40.0,without_chunking,LMM-2,10.5,14.008455410901052,0.4437868788129666
