num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,2,12.0,0.0,20.899654544388518,0.0,0.7723171219796908,0.0
4,2,LMM-2,2,12.0,0.0,20.899654544388518,0.0,0.7723171219796908,0.0
4,4,LMM-1,2,13.0,0.0,23.322441314236308,0.0,0.5289933789450265,0.0
4,4,LMM-2,2,13.0,0.0,13.050710405474351,0.0,0.5536401218634331,0.0
4,6,LMM-1,2,12.666666666666666,0.0,23.097639722754,0.0,0.35090625006877296,0.0
4,6,LMM-2,2,12.666666666666666,0.0,20.54791443678779,0.0,0.38007617750230177,0.0
4,8,LMM-1,2,13.0,0.0,24.222316292841672,0.0,0.20173670615524725,0.0
4,8,LMM-2,2,13.0,0.0,19.893417385647222,0.0,0.24824851058675249,0.0
6,2,LMM-1,2,15.5,0.0,25.922158888092035,0.0,0.753469281810205,0.0
6,2,LMM-2,2,15.5,0.0,25.922158888092035,0.0,0.753469281810205,0.0
6,4,LMM-1,2,13.5,0.0,23.318887483493857,0.0,0.5295385546477788,0.0
6,4,LMM-2,2,13.5,0.0,18.080212730520522,0.0,0.5519213275824254,0.0
6,6,LMM-1,2,14.166666666666666,0.0,24.73430474780533,0.0,0.34064543222972926,0.0
6,6,LMM-2,2,14.166666666666666,0.0,21.994326515254965,0.0,0.3918607673128443,0.0
6,8,LMM-1,2,13.75,0.0,24.374227667009954,0.0,0.22944561707383987,0.0
6,8,LMM-2,2,13.75,0.0,20.13314691974553,0.0,0.27685752464402474,0.0
8,2,LMM-1,2,11.5,0.0,19.444940401715726,0.0,0.8073802508923076,0.0
8,2,LMM-2,2,11.5,0.0,19.444940401715726,0.0,0.8073802508923076,0.0
8,4,LMM-1,2,11.5,0.0,19.43765874173407,0.0,0.6301911689341311,0.0
8,4,LMM-2,2,11.5,0.0,14.279392686984243,0.0,0.6477316237995656,0.0
8,6,LMM-1,2,11.5,0.0,19.832424607155204,0.0,0.46642543326615105,0.0
8,6,LMM-2,2,11.5,0.0,17.40378926842602,0.0,0.4926460859318013,0.0
8,8,LMM-1,2,11.5,0.0,20.054765617169608,0.0,0.3274847743380556,0.0
8,8,LMM-2,2,11.5,0.0,15.963507350061104,0.0,0.3747647035265306,0.0
10,2,LMM-1,2,12.5,0.0,20.456442119737673,0.0,0.8193196081376035,0.0
10,2,LMM-2,2,12.5,0.0,20.456442119737673,0.0,0.8193196081376035,0.0
10,4,LMM-1,2,11.5,0.0,19.577674114120153,0.0,0.6151073037728801,0.0
10,4,LMM-2,2,11.5,0.0,14.42078401045461,0.0,0.6320323499126647,0.0
10,6,LMM-1,2,9.5,0.0,15.97721961490234,0.0,0.6008929648202356,0.0
10,6,LMM-2,2,11.5,0.0,16.945934439359714,0.0,0.5367670590841798,0.0
10,8,LMM-1,2,12.0,0.0,20.731834589785326,0.0,0.3135275965144598,0.0
10,8,LMM-2,2,10.5,0.0,14.008455410901052,0.0,0.4437868788129666,0.0
