iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,40.0,with_chunking,LMM-1,12.0,30.836116268022323,0.768042288098905
1,1000,4,2,40.0,with_chunking,LMM-2,12.0,30.836116268022323,0.768042288098905
1,1000,4,4,40.0,with_chunking,LMM-1,12.0,32.28097860094156,0.550452012747821
1,1000,4,4,40.0,with_chunking,LMM-2,12.0,29.96154972604876,0.566661718722176
1,1000,4,6,40.0,with_chunking,LMM-1,12.0,33.636667807101325,0.36768952749395784
1,1000,4,6,40.0,with_chunking,LMM-2,12.0,27.031118091509246,0.40894476677787245
1,1000,4,8,40.0,with_chunking,LMM-1,12.0,34.96651794819042,0.22864291612755758
1,1000,4,8,40.0,with_chunking,LMM-2,12.0,22.980601696095615,0.30569108783549376
1,1000,6,2,40.0,with_chunking,LMM-1,12.0,29.889857592482105,0.6770428783856861
1,1000,6,2,40.0,with_chunking,LMM-2,12.0,29.889857592482105,0.6770428783856861
1,1000,6,4,40.0,with_chunking,LMM-1,12.0,31.91889659815095,0.3906846983632996
1,1000,6,4,40.0,with_chunking,LMM-2,12.0,29.305939162891743,0.4182685876341974
1,1000,6,6,40.0,with_chunking,LMM-1,12.0,33.91696103628454,0.19100713961334717
1,1000,6,6,40.0,with_chunking,LMM-2,12.0,26.67103859223029,0.24419021323384948
1,1000,6,8,40.0,with_chunking,LMM-1,12.0,35.87948694421423,0.07872949007583335
1,1000,6,8,40.0,with_chunking,LMM-2,12.0,26.921532740580457,0.1429688286437393
1,1000,8,2,40.0,with_chunking,LMM-1,11.083333333333334,26.7988640379167,0.6741515234888046
1,1000,8,2,40.0,with_chunking,LMM-2,11.083333333333334,26.7988640379167,0.6741515234888046
1,1000,8,4,40.0,with_chunking,LMM-1,11.666666666666666,29.68255022552816,0.345025212502351
1,1000,8,4,40.0,with_chunking,LMM-2,11.291666666666666,26.588674839278507,0.3885706917511951
1,1000,8,6,40.0,with_chunking,LMM-1,11.666666666666666,31.57487015597067,0.14924760097680798
1,1000,8,6,40.0,with_chunking,LMM-2,10.944444444444445,23.11743281103887,0.2471258429075597
1,1000,8,8,40.0,with_chunking,LMM-1,11.5,33.18001825603266,0.05026523482665283
1,1000,8,8,40.0,with_chunking,LMM-2,11.5,21.169925083952734,0.10877768395914415
1,1000,10,2,40.0,with_chunking,LMM-1,9.833333333333334,23.26422455288621,0.7182963034356363
1,1000,10,2,40.0,with_chunking,LMM-2,9.833333333333334,23.26422455288621,0.7182963034356363
1,1000,10,4,40.0,with_chunking,LMM-1,10.25,25.706313384380778,0.40567982019045695
1,1000,10,4,40.0,with_chunking,LMM-2,9.916666666666666,22.745978143026672,0.46897470331108204
1,1000,10,6,40.0,with_chunking,LMM-1,10.0,26.864663190666647,0.1998896781982311
1,1000,10,6,40.0,with_chunking,LMM-2,9.555555555555555,19.103061450448077,0.3163505270818865
1,1000,10,8,40.0,with_chunking,LMM-1,10.333333333333334,29.06673231101962,0.08041073031222072
1,1000,10,8,40.0,with_chunking,LMM-2,10.0,18.17653901485728,0.15719830511096042
2,1001,4,2,40.0,with_chunking,LMM-1,10.0,26.41105343064241,0.789933950225237
2,1001,4,2,40.0,with_chunking,LMM-2,10.0,26.41105343064241,0.789933950225237
2,1001,4,4,40.0,with_chunking,LMM-1,10.0,27.679198351745185,0.5888775225325933
2,1001,4,4,40.0,with_chunking,LMM-2,10.0,25.459426984709523,0.6033415741043665
2,1001,4,6,40.0,with_chunking,LMM-1,10.0,28.86259213503887,0.4137219865043273
2,1001,4,6,40.0,with_chunking,LMM-2,10.0,23.97514499809023,0.44950861105219225
2,1001,4,8,40.0,with_chunking,LMM-1,10.0,30.00860270592459,0.2737932931207345
2,1001,4,8,40.0,with_chunking,LMM-2,10.0,23.965865172186213,0.3313607082826785
2,1001,6,2,40.0,with_chunking,LMM-1,8.75,21.87576748153045,0.7494008657219333
2,1001,6,2,40.0,with_chunking,LMM-2,8.75,21.87576748153045,0.7494008657219333
2,1001,6,4,40.0,with_chunking,LMM-1,8.75,23.3076360979049,0.5086231863702969
2,1001,6,4,40.0,with_chunking,LMM-2,8.75,21.109324064511725,0.5284961898411548
2,1001,6,6,40.0,with_chunking,LMM-1,8.75,24.4610817412173,0.31656075894887786
2,1001,6,6,40.0,with_chunking,LMM-2,8.75,19.595399218141043,0.35813119798002974
2,1001,6,8,40.0,with_chunking,LMM-1,8.75,24.789035719503634,0.19628044554845395
2,1001,6,8,40.0,with_chunking,LMM-2,8.75,19.76908207454513,0.23773347292205807
2,1001,8,2,40.0,with_chunking,LMM-1,8.0,19.685044624759346,0.7276625521541117
2,1001,8,2,40.0,with_chunking,LMM-2,7.5,18.2441306826257,0.7487405669925962
2,1001,8,4,40.0,with_chunking,LMM-1,8.166666666666666,21.10470453827818,0.47541381421700085
2,1001,8,4,40.0,with_chunking,LMM-2,7.291666666666667,16.512608629923072,0.5572696991137307
2,1001,8,6,40.0,with_chunking,LMM-1,8.0,21.43123515581658,0.2959820893349245
2,1001,8,6,40.0,with_chunking,LMM-2,6.805555555555556,13.161579909135428,0.4331828326839611
2,1001,8,8,40.0,with_chunking,LMM-1,8.0,22.482919173632542,0.15842112368742892
2,1001,8,8,40.0,with_chunking,LMM-2,6.479166666666667,12.824415678504371,0.3444925732002197
2,1001,10,2,40.0,with_chunking,LMM-1,6.416666666666667,15.311243727214906,0.7929100434660796
2,1001,10,2,40.0,with_chunking,LMM-2,5.5,12.914662090020895,0.8279929733361003
2,1001,10,4,40.0,with_chunking,LMM-1,6.541666666666667,16.20272093842827,0.5878699420703233
2,1001,10,4,40.0,with_chunking,LMM-2,4.833333333333333,11.318424801813935,0.7187994846752704
2,1001,10,6,40.0,with_chunking,LMM-1,6.527777777777778,16.8249934549918,0.4063075946103239
2,1001,10,6,40.0,with_chunking,LMM-2,4.916666666666667,9.854068042135639,0.5920031077211506
2,1001,10,8,40.0,with_chunking,LMM-1,6.25,16.999401037916627,0.25974053706696654
2,1001,10,8,40.0,with_chunking,LMM-2,4.729166666666667,8.717965528580129,0.49977321105750466
3,1002,4,2,40.0,with_chunking,LMM-1,16.0,41.959926860840966,0.6846113692567982
3,1002,4,2,40.0,with_chunking,LMM-2,16.0,41.959926860840966,0.6846113692567982
3,1002,4,4,40.0,with_chunking,LMM-1,16.0,44.890748550751674,0.4027923593506435
3,1002,4,4,40.0,with_chunking,LMM-2,16.0,41.80396052776512,0.4296640769658062
3,1002,4,6,40.0,with_chunking,LMM-1,16.0,47.76406652278825,0.20236639362960937
3,1002,4,6,40.0,with_chunking,LMM-2,16.0,39.573971824902635,0.25630989198504944
3,1002,4,8,40.0,with_chunking,LMM-1,16.0,50.671651057834225,0.08620866414534985
3,1002,4,8,40.0,with_chunking,LMM-2,16.0,35.53845420178073,0.16459338000692494
3,1002,6,2,40.0,with_chunking,LMM-1,13.0,34.282916181095366,0.7388776291811654
3,1002,6,2,40.0,with_chunking,LMM-2,13.0,34.282916181095366,0.7388776291811654
3,1002,6,4,40.0,with_chunking,LMM-1,13.0,36.61810807421657,0.4865301166545506
3,1002,6,4,40.0,with_chunking,LMM-2,13.0,33.83367984152688,0.511082298551128
3,1002,6,6,40.0,with_chunking,LMM-1,13.0,38.891897104006524,0.2847304205199337
3,1002,6,6,40.0,with_chunking,LMM-2,13.0,31.315861138023877,0.3398240817199841
3,1002,6,8,40.0,with_chunking,LMM-1,13.0,41.16381963360155,0.14757024309806796
3,1002,6,8,40.0,with_chunking,LMM-2,13.0,27.27437513648293,0.23919488202060088
3,1002,8,2,40.0,with_chunking,LMM-1,12.0,30.6644857074855,0.7626136703229589
3,1002,8,2,40.0,with_chunking,LMM-2,12.0,30.6644857074855,0.7626136703229589
3,1002,8,4,40.0,with_chunking,LMM-1,12.0,32.66050530878339,0.525553791830503
3,1002,8,4,40.0,with_chunking,LMM-2,12.0,30.072750933000666,0.5487313821027462
3,1002,8,6,40.0,with_chunking,LMM-1,12.0,34.62164108193448,0.32580535567256697
3,1002,8,6,40.0,with_chunking,LMM-2,12.0,27.380936108913744,0.38141548470848013
3,1002,8,8,40.0,with_chunking,LMM-1,12.0,36.547390386251145,0.18116042529531992
3,1002,8,8,40.0,with_chunking,LMM-2,12.0,27.884490735970957,0.2575764122892848
3,1002,10,2,40.0,with_chunking,LMM-1,10.0,24.207391937228266,0.8199445108420479
3,1002,10,2,40.0,with_chunking,LMM-2,10.0,24.207391937228266,0.8199445108420479
3,1002,10,4,40.0,with_chunking,LMM-1,10.0,25.66921080592905,0.6250307132864394
3,1002,10,4,40.0,with_chunking,LMM-2,10.0,23.36162047005199,0.6444988863439955
3,1002,10,6,40.0,with_chunking,LMM-1,10.0,26.99008756513997,0.44158688289622483
3,1002,10,6,40.0,with_chunking,LMM-2,10.0,20.348600541414807,0.49421499303141525
3,1002,10,8,40.0,with_chunking,LMM-1,10.0,28.361414451621602,0.28860269199586824
3,1002,10,8,40.0,with_chunking,LMM-2,10.0,20.72596049593599,0.3687422009353151
4,1003,4,2,40.0,with_chunking,LMM-1,11.25,27.533328350837127,0.7090094044681514
4,1003,4,2,40.0,with_chunking,LMM-2,11.25,27.533328350837127,0.7090094044681514
4,1003,4,4,40.0,with_chunking,LMM-1,11.25,29.124794761434412,0.4420913026080893
4,1003,4,4,40.0,with_chunking,LMM-2,11.25,26.706188233818818,0.46768925532905065
4,1003,4,6,40.0,with_chunking,LMM-1,11.25,30.72261604940317,0.24187804718028025
4,1003,4,6,40.0,with_chunking,LMM-2,11.25,23.862574180254686,0.2944732996151222
4,1003,4,8,40.0,with_chunking,LMM-1,11.25,32.33079116742356,0.11561298535683961
4,1003,4,8,40.0,with_chunking,LMM-2,11.25,24.3556782929507,0.18037448139112836
4,1003,6,2,40.0,with_chunking,LMM-1,10.694444444444445,25.796720977430805,0.6924307690936683
4,1003,6,2,40.0,with_chunking,LMM-2,9.916666666666666,23.816094212661685,0.709289075108534
4,1003,6,4,40.0,with_chunking,LMM-1,10.666666666666666,27.225442039187797,0.38485819534853766
4,1003,6,4,40.0,with_chunking,LMM-2,9.611111111111112,21.937061638693663,0.45185518413817566
