iteration,num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,4,LMM-1,4,12.0,0.0,32.930070156063906,1.537234739937607,0.47870668611706035,0.20231113478851145
1,4,LMM-2,4,12.0,0.0,27.702346445418986,3.0687918528764246,0.5123349653586118,0.17444831348739667
1,6,LMM-1,4,13.125,0.414578098794425,35.3887482164578,2.784800030094525,0.442487936349911,0.22456619354360438
1,6,LMM-2,4,13.375,0.21650635094610965,31.265246240038735,1.1285061620033483,0.4736606732319279,0.19774012879294986
1,8,LMM-1,4,12.472222222222221,0.2405626121623432,31.75512974162405,1.85796055685146,0.5037689474347571,0.20806012152188919
1,8,LMM-2,4,12.402777777777779,0.12028130608117238,27.122066614620767,1.760909805175302,0.5409921901820706,0.17892628096058025
1,10,LMM-1,4,10.5,0.7071067811865474,26.410362519690757,2.199135834483205,0.5621722076472222,0.2006635545524733
1,10,LMM-2,4,10.86111111111111,0.41107357185968724,23.10730814686081,2.485451560979512,0.5943135164786628,0.15310688874683157
2,4,LMM-1,4,10.0,0.0,28.240361655837766,1.3393207249466494,0.516581688095723,0.19330964140094506
2,4,LMM-2,4,10.0,0.0,24.952872646407094,1.038391015660436,0.5435362109161186,0.17186343477936641
2,6,LMM-1,4,8.520833333333334,0.036084391824351865,22.73586327485089,1.156371063579058,0.5938629887516308,0.17730985646684377
2,6,LMM-2,4,8.5,0.0,19.75490750551129,0.8878355018315008,0.6155452039265737,0.16370608311595577
2,8,LMM-1,4,7.5,0.0,19.20550453189959,0.7123395185444613,0.658976596707161,0.14928850605065422
2,8,LMM-2,4,7.784722222222222,0.4196076761116888,16.727412258749066,1.3445207188116266,0.6803880275451357,0.13580137572120105
2,10,LMM-1,4,6.041666666666667,0.07216878364870336,15.19703247476931,0.756712877804399,0.7237642511861798,0.1321141626604072
2,10,LMM-2,4,5.631944444444445,0.11347315721088982,12.473121280790345,1.1278428655167587,0.7736154135171633,0.09723514514231206
3,4,LMM-1,4,16.0,0.0,46.321598248053775,3.2432692733488326,0.3439946965956002,0.22693010904665645
3,4,LMM-2,4,16.0,0.0,39.71907835382236,2.5916601781483974,0.3837946795536447,0.1980506647346196
3,6,LMM-1,4,13.0,0.0,37.73918524823,2.562199991727937,0.4144271023634294,0.22276714391958585
3,6,LMM-2,4,13.0,0.0,31.676708074282264,2.7818875654557225,0.4572447228682196,0.1894392505099088
3,8,LMM-1,4,12.0,0.0,33.62350562111363,2.1925182421559954,0.4487833107803372,0.21859139256220755
3,8,LMM-2,4,12.0,0.0,29.00066587134272,1.3952629019912979,0.48758423735586753,0.18944363669668177
3,10,LMM-1,4,10.0,0.0,26.307026189979723,1.5412946207058065,0.5437911997551451,0.19901470213282368
3,10,LMM-2,4,10.0,0.0,22.16089336115776,1.6563015730896897,0.5818501477881934,0.16860360874084782
4,4,LMM-1,4,11.020833333333334,0.036084391824351865,28.87127516317068,1.8660113610245037,0.5148410346009531,0.21317574045581308
4,4,LMM-2,4,11.0,0.0,24.93546319055876,1.3479363951410743,0.5529627862368327,0.1848311097678129
4,6,LMM-1,4,10.9375,0.06909634979907066,28.423880751402912,1.8526192789222062,0.5265602938037036,0.20908169667579662
4,6,LMM-2,4,10.9375,0.06909634979907066,24.573561469080516,1.3407253819916947,0.5636779011162408,0.1756297402603029
4,8,LMM-1,4,9.0625,0.06909634979907066,22.886405727304084,1.3739151990890413,0.5997090874813288,0.1886522515393713
4,8,LMM-2,4,9.020833333333334,0.036084391824351865,19.709392453519566,0.9518912365360894,0.6293567800087683,0.163910249616873
4,10,LMM-1,4,7.625,0.13819269959814157,19.257999641607867,1.1627709473131906,0.6551965220074384,0.16919174546628502
4,10,LMM-2,4,7.604166666666667,0.10825317547305488,16.631490048639265,1.5363384087084542,0.6856324104611264,0.13844441280418554
5,4,LMM-1,4,14.26388888888889,0.12028130608117238,39.355399969988355,2.3587863433883736,0.40829145933120087,0.21571743910610228
5,4,LMM-2,4,14.3125,0.0908103946570975,33.84773207582504,2.394549568927486,0.43985369023128695,0.19601380507961894
5,6,LMM-1,4,12.972222222222221,0.14433756729740593,35.766924405334464,1.9864510776035622,0.4405333556264006,0.2124695224767232
5,6,LMM-2,4,12.756944444444445,0.09081039465709706,30.186148320412638,2.8988187402858117,0.46820779618637876,0.18775875435741057
5,8,LMM-1,4,11.604166666666666,0.06909634979907052,29.885130740169338,1.7745757020263606,0.5088072903502528,0.2068930989064835
5,8,LMM-2,4,11.520833333333334,0.036084391824351865,25.31688478394649,2.2519670152844524,0.542657292603101,0.1821502930263282
5,10,LMM-1,4,10.5,0.0,26.781780755306468,1.75687260835834,0.542898567948951,0.20794648620090989
5,10,LMM-2,4,10.5,0.0,23.051431598783587,1.166942648707749,0.5798341618539825,0.1769594804620589
6,4,LMM-1,4,14.0,0.0,41.65209600607748,3.0607945865423907,0.3713184956304653,0.22778706440752242
6,4,LMM-2,4,14.0,0.0,35.177215966871046,2.668994775730114,0.4146571712344447,0.1956130866336093
6,6,LMM-1,4,13.0,0.0,35.37119478977475,2.4059242791884228,0.4388450017813312,0.22560028184561542
6,6,LMM-2,4,13.0,0.0,29.418184908882676,2.846170071607514,0.48844864180578385,0.1865119898930742
6,8,LMM-1,4,11.0,0.0,29.103979602808877,1.9098087011974567,0.5079337084437553,0.21332512058667516
6,8,LMM-2,4,11.0,0.0,24.712328764279068,1.4888114720898782,0.5514355587456697,0.18007340777646477
6,10,LMM-1,4,9.0,0.0,23.147294007427273,1.252202505117589,0.5988387518116737,0.18180271968648307
6,10,LMM-2,4,9.0,0.0,20.004556350697023,1.006473305874781,0.6293067455734229,0.15848470833111183
7,4,LMM-1,4,18.5,0.0,50.90835327468604,3.2798855145543,0.3201462422537794,0.22478968597084478
7,4,LMM-2,4,18.5,0.0,44.274023812766345,2.594926701258362,0.35736538431655707,0.19870714816101503
7,6,LMM-1,4,18.0,0.0,49.60002399309801,3.2431044094189745,0.3261118094911807,0.22528192766429572
7,6,LMM-2,4,18.0,0.0,43.00475240466753,2.596033042723486,0.36408675303915766,0.19841892448606202
7,8,LMM-1,4,18.0,0.0,49.60002399309801,3.2431044094189745,0.3261118094911807,0.22528192766429572
7,8,LMM-2,4,18.0,0.0,43.00475240466753,2.596033042723486,0.36408675303915766,0.19841892448606202
7,10,LMM-1,4,13.0,0.0,37.49471920103677,2.7722756986393375,0.411862534345914,0.2285620981061754
7,10,LMM-2,4,13.0,0.0,31.624737010048975,2.158943005529657,0.45799180695031005,0.19385039564300444
8,4,LMM-1,4,12.583333333333334,0.18633899812498242,35.330163182964455,1.8310887777881302,0.4464120168511194,0.21040324669123764
8,4,LMM-2,4,12.583333333333332,0.08333333333333304,29.92641367210942,2.8254271747925275,0.47920915516954415,0.18623776904354883
8,6,LMM-1,4,10.958333333333334,0.07216878364870297,27.786604297413334,1.7736139388205732,0.5170711344114692,0.2113253835919097
8,6,LMM-2,4,10.958333333333334,0.07216878364870297,23.547519673466894,1.5017373847800173,0.5581950705985433,0.17933646259447
8,8,LMM-1,4,10.666666666666668,0.33333333333333304,26.8083299767096,1.9916863313049553,0.5380416494336459,0.2075532103036999
8,8,LMM-2,4,10.555555555555555,0.36004114991154773,22.711305557258235,2.3661090163869454,0.5853055916078069,0.15274460263657472
8,10,LMM-1,4,7.9375,0.06909634979907092,19.073826058978746,1.0202129173119372,0.6557538739333868,0.16724167710275809
8,10,LMM-2,4,7.079861111111111,0.15601834679625695,14.734497888110223,1.0627848485656608,0.7488275158490585,0.11026344370533556
