iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,40.0,without_chunking,LMM-1,12.0,30.836116268022323,0.768042288098905
1,1000,4,2,40.0,without_chunking,LMM-2,12.0,30.836116268022323,0.768042288098905
1,1000,4,4,40.0,without_chunking,LMM-1,12.0,32.28097860094156,0.550452012747821
1,1000,4,4,40.0,without_chunking,LMM-2,12.0,29.96154972604876,0.566661718722176
1,1000,4,6,40.0,without_chunking,LMM-1,12.0,33.636667807101325,0.36768952749395784
1,1000,4,6,40.0,without_chunking,LMM-2,12.0,27.031118091509246,0.40894476677787245
1,1000,4,8,40.0,without_chunking,LMM-1,12.0,34.96651794819042,0.22864291612755758
1,1000,4,8,40.0,without_chunking,LMM-2,12.0,22.980601696095615,0.30569108783549376
1,1000,6,2,40.0,without_chunking,LMM-1,13.5,33.08572218818538,0.7557736194199176
1,1000,6,2,40.0,without_chunking,LMM-2,13.5,33.08572218818538,0.7557736194199176
1,1000,6,4,40.0,without_chunking,LMM-1,13.0,34.02981888775648,0.5215781878934959
1,1000,6,4,40.0,without_chunking,LMM-2,13.0,31.298141806696368,0.5492005330645814
1,1000,6,6,40.0,without_chunking,LMM-1,12.5,34.29014670119358,0.34713963631954337
1,1000,6,6,40.0,without_chunking,LMM-2,13.5,30.163350824386814,0.35463763334854587
1,1000,6,8,40.0,without_chunking,LMM-1,13.5,40.14930508869577,0.14546030176668714
1,1000,6,8,40.0,without_chunking,LMM-2,13.5,30.51377014088638,0.23503090709466676
1,1000,8,2,40.0,without_chunking,LMM-1,12.333333333333334,29.180289130594662,0.797133916793794
1,1000,8,2,40.0,without_chunking,LMM-2,12.333333333333334,29.180289130594662,0.797133916793794
1,1000,8,4,40.0,without_chunking,LMM-1,12.333333333333334,30.849494466754603,0.5816502586216425
1,1000,8,4,40.0,without_chunking,LMM-2,12.333333333333334,28.38220625654057,0.6053399707572377
1,1000,8,6,40.0,without_chunking,LMM-1,12.888888888888888,33.1072735569398,0.3959778454943659
1,1000,8,6,40.0,without_chunking,LMM-2,12.611111111111112,26.19542148017764,0.4397070540759587
1,1000,8,8,40.0,without_chunking,LMM-1,12.333333333333334,33.88346181220713,0.24031376882922614
1,1000,8,8,40.0,without_chunking,LMM-2,12.333333333333334,24.730349591170192,0.3217878191012919
1,1000,10,2,40.0,without_chunking,LMM-1,11.166666666666666,25.914366381563656,0.8202101535408094
1,1000,10,2,40.0,without_chunking,LMM-2,11.166666666666666,25.914366381563656,0.8202101535408094
1,1000,10,4,40.0,without_chunking,LMM-1,10.166666666666666,24.718106914222446,0.6623524286032488
1,1000,10,4,40.0,without_chunking,LMM-2,11.166666666666666,25.019844516831338,0.6444037347573252
1,1000,10,6,40.0,without_chunking,LMM-1,9.5,24.873820261138068,0.4837697843303859
1,1000,10,6,40.0,without_chunking,LMM-2,10.944444444444443,21.756277401314616,0.48906291064215845
1,1000,10,8,40.0,without_chunking,LMM-1,11.166666666666666,30.135156521838855,0.28235646411444454
1,1000,10,8,40.0,without_chunking,LMM-2,10.166666666666666,19.738744287733635,0.42357726697435805
2,1001,4,2,40.0,without_chunking,LMM-1,10.0,26.41105343064241,0.789933950225237
2,1001,4,2,40.0,without_chunking,LMM-2,10.0,26.41105343064241,0.789933950225237
2,1001,4,4,40.0,without_chunking,LMM-1,10.0,27.679198351745185,0.5888775225325933
2,1001,4,4,40.0,without_chunking,LMM-2,10.0,25.459426984709523,0.6033415741043665
2,1001,4,6,40.0,without_chunking,LMM-1,10.0,28.86259213503887,0.4137219865043273
2,1001,4,6,40.0,without_chunking,LMM-2,10.0,23.97514499809023,0.44950861105219225
2,1001,4,8,40.0,without_chunking,LMM-1,10.0,30.00860270592459,0.2737932931207345
2,1001,4,8,40.0,without_chunking,LMM-2,10.0,23.965865172186213,0.3313607082826785
2,1001,6,2,40.0,without_chunking,LMM-1,8.5,20.960300906583416,0.8429824848320647
2,1001,6,2,40.0,without_chunking,LMM-2,8.5,20.960300906583416,0.8429824848320647
2,1001,6,4,40.0,without_chunking,LMM-1,8.583333333333334,22.473006000982323,0.6660219625668448
2,1001,6,4,40.0,without_chunking,LMM-2,8.5,20.22040270151776,0.6797179798833449
2,1001,6,6,40.0,without_chunking,LMM-1,8.5,23.59777853470393,0.49186577100347534
2,1001,6,6,40.0,without_chunking,LMM-2,8.5,18.710400856855326,0.5362031427982418
2,1001,6,8,40.0,without_chunking,LMM-1,8.5,23.91236765713389,0.3745817366041382
2,1001,6,8,40.0,without_chunking,LMM-2,8.5,19.12852555708866,0.4032772081926437
2,1001,8,2,40.0,without_chunking,LMM-1,7.5,18.129257302056523,0.8667313937786497
2,1001,8,2,40.0,without_chunking,LMM-2,7.166666666666667,17.152576930351458,0.8750871531825365
2,1001,8,4,40.0,without_chunking,LMM-1,7.5,19.005018628685182,0.7214824878000147
2,1001,8,4,40.0,without_chunking,LMM-2,8.333333333333334,18.72622675573642,0.7179706705384006
2,1001,8,6,40.0,without_chunking,LMM-1,7.5,19.753915789900507,0.5765661266967559
2,1001,8,6,40.0,without_chunking,LMM-2,7.722222222222222,15.27347024418035,0.6253635894356347
2,1001,8,8,40.0,without_chunking,LMM-1,7.5,19.933826406956147,0.47112637855322365
2,1001,8,8,40.0,without_chunking,LMM-2,7.916666666666667,15.757375104728036,0.5031306970239712
2,1001,10,2,40.0,without_chunking,LMM-1,6.0,14.194401087470851,0.9002390770850922
2,1001,10,2,40.0,without_chunking,LMM-2,5.666666666666667,13.30110463259949,0.9073773298386186
2,1001,10,4,40.0,without_chunking,LMM-1,6.0,14.863900537678383,0.7849730379752087
2,1001,10,4,40.0,without_chunking,LMM-2,5.75,13.806158722166783,0.8101529246213283
2,1001,10,6,40.0,without_chunking,LMM-1,6.0,15.489361809024084,0.6627150839730286
2,1001,10,6,40.0,without_chunking,LMM-2,5.4444444444444455,11.773771894738667,0.7336901751300214
2,1001,10,8,40.0,without_chunking,LMM-1,6.166666666666667,16.24046646490392,0.5471298057113897
2,1001,10,8,40.0,without_chunking,LMM-2,5.666666666666667,11.01144987365644,0.643241224478685
3,1002,4,2,40.0,without_chunking,LMM-1,16.0,41.959926860840966,0.6846113692567982
3,1002,4,2,40.0,without_chunking,LMM-2,16.0,41.959926860840966,0.6846113692567982
3,1002,4,4,40.0,without_chunking,LMM-1,16.0,44.890748550751674,0.4027923593506435
3,1002,4,4,40.0,without_chunking,LMM-2,16.0,41.80396052776512,0.4296640769658062
3,1002,4,6,40.0,without_chunking,LMM-1,16.0,47.76406652278825,0.20236639362960937
3,1002,4,6,40.0,without_chunking,LMM-2,16.0,39.573971824902635,0.25630989198504944
3,1002,4,8,40.0,without_chunking,LMM-1,16.0,50.671651057834225,0.08620866414534985
3,1002,4,8,40.0,without_chunking,LMM-2,16.0,35.53845420178073,0.16459338000692494
3,1002,6,2,40.0,without_chunking,LMM-1,13.0,34.282916181095366,0.7388776291811654
3,1002,6,2,40.0,without_chunking,LMM-2,13.0,34.282916181095366,0.7388776291811654
3,1002,6,4,40.0,without_chunking,LMM-1,13.0,36.61810807421657,0.4865301166545506
3,1002,6,4,40.0,without_chunking,LMM-2,13.0,33.83367984152688,0.511082298551128
