iteration,seed,num_publishers,num_users,lmm,avg_hops,avg_delay,avg_success_rate
1,100,4,2,LMM-1,12.893011431672818,30.74296228594617,0.8738292276285747
1,100,4,2,LMM-2,13.15,29.172427702403887,0.7890065606264856
1,100,4,4,LMM-1,12.92196103312585,30.59346829550442,0.767235457028503
1,100,4,4,LMM-2,13.5,29.65953185170121,0.6333708296113219
1,100,4,6,LMM-1,12.404713728608602,28.733507826628635,0.6176235656061484
1,100,4,6,LMM-2,12.533333333333333,27.39970602718545,0.5439821334626149
1,100,4,8,LMM-1,13.131643417680433,30.34385396525305,0.4565506087540627
1,100,4,8,LMM-2,12.525,27.726647638775823,0.4345926611518001
1,100,6,2,LMM-1,11.0,23.831527477051704,0.8174064310077384
1,100,6,2,LMM-2,10.45,22.00606524946237,0.858728309711266
1,100,6,4,LMM-1,10.75,23.207626217992303,0.6777593951576553
1,100,6,4,LMM-2,10.35,22.058530907810496,0.7252814962244503
1,100,6,6,LMM-1,10.379718355439275,22.69377597392876,0.6153853519686276
1,100,6,6,LMM-2,10.0,21.344765967673645,0.640635946513898
1,100,6,8,LMM-1,10.03461024096609,22.050738660052097,0.5165045272367816
1,100,6,8,LMM-2,9.1375,19.565956264071552,0.601501715775816
1,100,8,2,LMM-1,11.0,23.71592476096853,0.9134938348194362
1,100,8,2,LMM-2,10.1,20.500663080003317,0.8886673245742408
1,100,8,4,LMM-1,10.479973066952585,22.692115553358665,0.8402457681472395
1,100,8,4,LMM-2,9.6,19.74250488819758,0.7951150598214686
1,100,8,6,LMM-1,10.281086382953598,22.664341685217494,0.8308781689908731
1,100,8,6,LMM-2,9.733333333333333,20.4679197266735,0.6619531144771459
1,100,8,8,LMM-1,10.047137180019806,22.178053553662846,0.7669734879141856
1,100,8,8,LMM-2,9.15,19.347261770256175,0.604311290096976
1,100,10,2,LMM-1,10.377251635097434,21.46251942189623,0.9910275807837865
1,100,10,2,LMM-2,9.85,20.043309373426474,0.8967208308438097
1,100,10,4,LMM-1,9.732397495029836,19.921837899287603,0.9298284895952482
1,100,10,4,LMM-2,8.825,17.636962746879725,0.8464559312282042
1,100,10,6,LMM-1,9.768306425871092,20.11685316421206,0.922937062090018
1,100,10,6,LMM-2,8.466666666666667,16.723902833803983,0.7906197370405967
1,100,10,8,LMM-1,9.788942001826232,20.17982447828801,0.8614686003938725
1,100,10,8,LMM-2,8.2625,16.41945278080698,0.7255967998555525
2,101,4,2,LMM-1,21.5,43.69332921914716,0.7114818011147035
2,101,4,2,LMM-2,21.5,43.811565817855566,0.708442512103738
2,101,4,4,LMM-1,20.75,42.40955856807655,0.5123378234536926
2,101,4,4,LMM-2,19.675,40.17016851212641,0.5417215187064259
2,101,4,6,LMM-1,19.166666666666668,39.36285361471622,0.39236998748026697
2,101,4,6,LMM-2,17.85,36.55080558136806,0.44357233183961664
2,101,4,8,LMM-1,17.771339221221243,36.88553834120033,0.34322011464667357
2,101,4,8,LMM-2,16.4,33.780725893152436,0.37529675760769016
2,101,6,2,LMM-1,21.5,43.69332921914716,0.7114818011147035
