num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,200,14.487733395802902,2.980185496630005,31.042379991889202,6.342728780905934,0.8034197505380815,0.07301016715374321
4,2,LMM-2,200,13.314,2.6339521635747296,27.87277537899726,5.850251901926771,0.8207253427352933,0.046905927183146956
4,4,LMM-1,200,13.939966785295148,2.813828053279165,29.962156047245653,5.905729651209439,0.6638269340284271,0.10799596635226505
4,4,LMM-2,200,12.494625000000001,2.267976627828206,26.15874069937851,4.955257089230558,0.7010299043131013,0.06366916851206014
4,6,LMM-1,200,13.492341843386999,2.6347572938274535,29.13990511041662,5.52638664900562,0.5559068679322597,0.12342278410855576
4,6,LMM-2,200,12.044166666666667,2.0819994062866054,25.321868474330355,4.545674099780434,0.6022124398107688,0.07372039407349422
4,8,LMM-1,200,13.139577296339432,2.4763454432202523,28.52991412123262,5.214104474156581,0.4707917768286669,0.12974213045285726
4,8,LMM-2,200,11.683875,1.924870364953183,24.680150584500726,4.1965694005669905,0.5210342714980626,0.07727256269477933
6,2,LMM-1,200,13.070413767503462,2.6492253324993027,27.440995106148875,5.4331772972222065,0.8439643900513039,0.0768112803918624
6,2,LMM-2,200,11.947249999999999,2.2638473750454113,24.370703823897596,4.9528359251663465,0.8501748405883027,0.04019217178407851
6,4,LMM-1,200,12.625382711360398,2.4895754585664522,26.649638997659785,5.053158869121262,0.7300617771722524,0.11981099874864823
6,4,LMM-2,200,11.41625,1.9160078124840723,23.372135693806936,4.164951805697935,0.7401703289009093,0.056101496855015705
6,6,LMM-1,200,12.225017049457852,2.323735704649428,25.96602000879627,4.769997129527765,0.639394051287249,0.14088000491867825
6,6,LMM-2,200,11.015166666666666,1.7344933538196232,22.682740376087462,3.7759471979018167,0.6496108656058405,0.06535857077233631
6,8,LMM-1,200,11.856082949643405,2.1660702471236033,25.333174558292175,4.485359612405265,0.5698071289874274,0.15431856126437546
6,8,LMM-2,200,10.677562499999999,1.6433770002174637,22.094367220452177,3.5844276839789035,0.5762281916366396,0.07179125390163667
8,2,LMM-1,200,12.127496931629835,2.6019015459457964,25.012984533832565,5.338924741572802,0.8673496714593308,0.07525199049708317
8,2,LMM-2,200,11.193,2.1507152298712167,22.4384862708629,4.688613087901887,0.8684175574372932,0.0387634477782811
8,4,LMM-1,200,11.695045455098988,2.377144730894873,24.305219219432164,4.823483042301321,0.7759745253070828,0.1253569481896376
8,4,LMM-2,200,10.57875,1.7643478788209541,21.284071055880275,3.834759169892518,0.7730936569757789,0.05420400265014997
8,6,LMM-1,200,11.27689099362258,2.2132636214177266,23.59170621262052,4.5266552340611605,0.703703385143603,0.1535578537463234
8,6,LMM-2,200,10.1405,1.6471300882983644,20.51318136982215,3.595350496389492,0.6949803103752157,0.06681933317448911
8,8,LMM-1,200,10.946684750666634,2.044040273692189,23.042632278964046,4.213235315167881,0.6475406319386667,0.17063723241996182
8,8,LMM-2,200,9.8993125,1.5165380999479539,20.137253077787094,3.3330767359182625,0.6225374142199815,0.07331458640864644
10,2,LMM-1,200,10.841360113686473,2.111764875337175,21.972836742429767,4.3050004154955595,0.8921690218540749,0.06721508711108594
10,2,LMM-2,200,10.04275,1.7883679536102184,19.790449268806704,3.8704866021589326,0.8916218708917393,0.034556175950307765
10,4,LMM-1,200,10.410061882300433,1.9138445954235102,21.24371045077565,3.8999501945466033,0.8163773747573261,0.10997858245598863
10,4,LMM-2,200,9.5145,1.5204591411807158,18.813774930011025,3.275829947577481,0.8102571392677166,0.05134991542043469
10,6,LMM-1,200,10.079355023644096,1.8085867300595766,20.71188400814856,3.728504808963686,0.7545508509609331,0.13906288142373738
10,6,LMM-2,200,9.1795,1.4321048126601783,18.25975130084777,3.1163919304855794,0.7402919104209861,0.06331512463448252
10,8,LMM-1,200,9.721211409636478,1.6957137177130708,20.132641045685247,3.537426296949173,0.7136782390593533,0.15991630165252066
10,8,LMM-2,200,8.89725,1.3791795341796513,17.800975700532543,3.0102290088767587,0.6807804208994385,0.0734073673303288
