iteration,seed,num_publishers,num_users,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,LMM-1,13.0,26.0,0.8728382071518662
1,1000,4,2,LMM-2,11.0,22.0,0.8988611260343888
1,1000,4,3,LMM-1,12.666666666666666,25.333333333333332,0.8265520289053042
1,1000,4,3,LMM-2,10.333333333333334,20.666666666666668,0.8636712270618039
1,1000,4,4,LMM-1,12.75,25.5,0.7754873477634335
1,1000,4,4,LMM-2,10.25,20.5,0.8221903535993235
1,1000,4,5,LMM-1,12.4,24.8,0.738783476347805
1,1000,4,5,LMM-2,9.8,19.6,0.7947567757648659
1,1000,4,6,LMM-1,12.166666666666666,24.333333333333332,0.7030232036343179
1,1000,4,6,LMM-2,9.5,19.0,0.7673723214140854
1,1000,4,7,LMM-1,11.857142857142858,23.714285714285715,0.67157405014675
1,1000,4,7,LMM-2,9.142857142857142,18.285714285714285,0.7437890542092728
1,1000,4,8,LMM-1,12.25,24.5,0.6185466738337274
1,1000,4,8,LMM-2,9.5,19.0,0.6951007507103006
1,1000,5,2,LMM-1,13.0,26.0,0.875297134500132
1,1000,5,2,LMM-2,10.5,21.0,0.9029635679572185
1,1000,5,3,LMM-1,12.333333333333334,24.666666666666668,0.833869258767772
1,1000,5,3,LMM-2,9.666666666666666,19.333333333333332,0.8728348742614206
1,1000,5,4,LMM-1,12.0,24.0,0.7935064284452237
1,1000,5,4,LMM-2,9.25,18.5,0.8427601300140652
1,1000,5,5,LMM-1,11.6,23.2,0.7533358165639041
1,1000,5,5,LMM-2,9.4,18.8,0.806087533802359
1,1000,5,6,LMM-1,11.833333333333334,23.666666666666668,0.7067944593107677
1,1000,5,6,LMM-2,9.5,19.0,0.7673723214140854
1,1000,5,7,LMM-1,11.571428571428571,23.142857142857142,0.6751766018629373
1,1000,5,7,LMM-2,9.142857142857142,18.285714285714285,0.7437890542092728
1,1000,5,8,LMM-1,11.375,22.75,0.6437753251994162
1,1000,5,8,LMM-2,8.875,17.75,0.719591677140701
1,1000,6,2,LMM-1,11.0,22.0,0.911110477826731
1,1000,6,2,LMM-2,9.0,18.0,0.924464942198897
1,1000,6,3,LMM-1,11.0,22.0,0.8710489497569603
1,1000,6,3,LMM-2,8.666666666666666,17.333333333333332,0.8953060459629439
1,1000,6,4,LMM-1,10.5,21.0,0.8378350873752485
1,1000,6,4,LMM-2,8.0,16.0,0.869422363163788
1,1000,6,5,LMM-1,10.8,21.6,0.7925070549265695
1,1000,6,5,LMM-2,7.6,15.2,0.8453525108278556
1,1000,6,6,LMM-1,10.166666666666666,20.333333333333332,0.7678499400752733
1,1000,6,6,LMM-2,7.5,15.0,0.8178510124599996
1,1000,6,7,LMM-1,10.142857142857142,20.285714285714285,0.7336239788851028
1,1000,6,7,LMM-2,7.0,14.0,0.8032186911349335
1,1000,6,8,LMM-1,9.75,19.5,0.7058033673773113
1,1000,6,8,LMM-2,6.75,13.5,0.7790164226669569
1,1000,7,2,LMM-1,11.0,22.0,0.911110477826731
1,1000,7,2,LMM-2,9.0,18.0,0.924464942198897
1,1000,7,3,LMM-1,11.0,22.0,0.8710489497569603
1,1000,7,3,LMM-2,8.666666666666666,17.333333333333332,0.8953060459629439
1,1000,7,4,LMM-1,10.5,21.0,0.8378350873752485
1,1000,7,4,LMM-2,8.0,16.0,0.869422363163788
1,1000,7,5,LMM-1,10.8,21.6,0.7925070549265695
1,1000,7,5,LMM-2,7.6,15.2,0.8453525108278556
1,1000,7,6,LMM-1,10.166666666666666,20.333333333333332,0.7678499400752733
1,1000,7,6,LMM-2,7.5,15.0,0.8178510124599996
1,1000,7,7,LMM-1,10.142857142857142,20.285714285714285,0.7336239788851028
1,1000,7,7,LMM-2,7.0,14.0,0.8032186911349335
1,1000,7,8,LMM-1,9.625,19.25,0.7131252863924757
1,1000,7,8,LMM-2,7.25,14.5,0.771773138785116
1,1000,8,2,LMM-1,11.0,22.0,0.910781031615956
1,1000,8,2,LMM-2,8.0,16.0,0.9361445925417313
1,1000,8,3,LMM-1,11.0,22.0,0.8710489497569603
1,1000,8,3,LMM-2,8.666666666666666,17.333333333333332,0.8953060459629439
1,1000,8,4,LMM-1,11.25,22.5,0.8239240015972187
1,1000,8,4,LMM-2,8.0,16.0,0.8705196070181525
