num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,1,11.333333333333334,0.0,27.812886815460207,0.0,0.7933619925035854,0.0
4,2,LMM-2,1,11.0,0.0,26.561224688321953,0.0,0.8099848544778423,0.0
4,4,LMM-1,1,11.0,0.0,29.757842178385943,0.0,0.5537350799804873,0.0
4,4,LMM-2,1,11.0,0.0,27.285009889473425,0.0,0.6295662617230612,0.0
4,6,LMM-1,1,11.0,0.0,31.935591219583216,0.0,0.3418948191782801,0.0
4,6,LMM-2,1,11.0,0.0,28.10560706261268,0.0,0.4721923804517579,0.0
4,8,LMM-1,1,11.083333333333334,0.0,34.094790857162515,0.0,0.18921188698098798,0.0
4,8,LMM-2,1,11.0,0.0,28.644504329850154,0.0,0.34391484842333325,0.0
6,2,LMM-1,1,10.0,0.0,24.23457699282132,0.0,0.8208588756585905,0.0
6,2,LMM-2,1,10.0,0.0,23.491981499952015,0.0,0.8362629152684781,0.0
6,4,LMM-1,1,10.0,0.0,25.380614164170737,0.0,0.6305309830255355,0.0
6,4,LMM-2,1,10.0,0.0,24.324997744129746,0.0,0.6635769983092162,0.0
6,6,LMM-1,1,10.0,0.0,28.166115625905814,0.0,0.3903081310762828,0.0
6,6,LMM-2,1,10.0,0.0,24.85155561095038,0.0,0.5203586584227545,0.0
6,8,LMM-1,1,10.0,0.0,27.95418711347551,0.0,0.29725593236347,0.0
6,8,LMM-2,1,10.0,0.0,25.334669573292825,0.0,0.3942540189122062,0.0
8,2,LMM-1,1,10.0,0.0,23.802719230969842,0.0,0.8270794408010801,0.0
8,2,LMM-2,1,10.0,0.0,23.358115984191837,0.0,0.8390250421300712,0.0
8,4,LMM-1,1,10.0,0.0,24.73300805681438,0.0,0.6453121531944964,0.0
8,4,LMM-2,1,10.0,0.0,23.458278410165487,0.0,0.692675495557778,0.0
8,6,LMM-1,1,10.0,0.0,28.166115625905814,0.0,0.3903081310762828,0.0
8,6,LMM-2,1,10.0,0.0,24.186556508457638,0.0,0.5466056369059235,0.0
8,8,LMM-1,1,10.0,0.0,28.029701661326275,0.0,0.2837328136554423,0.0
8,8,LMM-2,1,10.0,0.0,24.53005112104411,0.0,0.4307485866950566,0.0
10,2,LMM-1,1,9.0,0.0,21.45710740801191,0.0,0.8449757404022957,0.0
10,2,LMM-2,1,9.0,0.0,20.733113025969377,0.0,0.8601840386057162,0.0
10,4,LMM-1,1,9.166666666666666,0.0,22.726173976698202,0.0,0.6684728179147625,0.0
10,4,LMM-2,1,7.5,0.0,17.032891555124138,0.0,0.7830993266475591,0.0
10,6,LMM-1,1,9.0,0.0,24.690701425390216,0.0,0.44925394629490706,0.0
10,6,LMM-2,1,6.666666666666667,0.0,15.067787798972494,0.0,0.7184531666085258,0.0
10,8,LMM-1,1,9.0,0.0,25.53029443349237,0.0,0.3133542094549153,0.0
10,8,LMM-2,1,7.125,0.0,16.46659039058057,0.0,0.6016266544026251,0.0
