Content Name,R_count,Popularity,Rank,Feedback
publisher1_content_7,2,0.29,1,None
publisher1_content_31,2,0.29,1,None
publisher2_content_38,1,0.1,3,None
publisher2_content_48,1,0.1,3,None
publisher2_content_13,1,0.1,3,None
publisher2_content_46,1,0.1,3,None
publisher1_content_1,1,0.1,3,None
publisher2_content_45,1,0.1,3,None
publisher2_content_24,1,0.1,3,None
publisher2_content_27,1,0.1,3,None
publisher2_content_43,1,0.1,3,None
publisher1_content_19,1,0.1,3,None
publisher2_content_19,1,0.1,3,None
publisher1_content_44,1,0.1,3,None
publisher1_content_36,1,0.1,3,None
publisher1_content_38,1,0.1,3,None
publisher2_content_12,1,0.1,3,None
publisher2_content_22,1,0.1,3,None
publisher2_content_6,1,0.1,3,None
publisher2_content_32,1,0.1,3,None
publisher2_content_40,1,0.1,3,None
publisher1_content_49,1,0.1,3,None
publisher1_content_22,1,0.1,3,None
publisher1_content_33,1,0.1,3,None
publisher1_content_30,1,0.1,3,None
publisher2_content_15,1,0.1,3,None
publisher2_content_18,1,0.1,3,None
publisher2_content_37,1,0.1,3,None
publisher1_content_12,1,0.1,3,None
publisher2_content_42,1,0.1,3,None
publisher1_content_42,1,0.1,3,None
publisher1_content_15,1,0.1,3,None
publisher2_content_3,1,0.1,3,None
publisher1_content_41,1,0.1,3,None
publisher1_content_34,1,0.1,3,None
publisher2_content_8,1,0.1,3,None
publisher1_content_46,1,0.1,3,None
publisher2_content_10,1,0.1,3,None
publisher1_content_28,1,0.1,3,None
publisher2_content_28,1,0.1,3,None
