Content Name,R_count,Popularity,Rank,Feedback
publisher1_content_41,2,0.29,1,None
publisher1_content_9,2,0.29,1,None
publisher2_content_27,2,0.29,1,None
publisher2_content_8,1,0.1,4,None
publisher1_content_31,1,0.1,4,None
publisher2_content_11,1,0.1,4,None
publisher2_content_50,1,0.1,4,None
publisher1_content_7,1,0.1,4,None
publisher1_content_16,1,0.1,4,None
publisher1_content_10,1,0.1,4,None
publisher1_content_47,1,0.1,4,None
publisher1_content_6,1,0.1,4,None
publisher1_content_40,1,0.1,4,None
publisher2_content_48,1,0.1,4,None
publisher2_content_35,1,0.1,4,None
publisher2_content_46,1,0.1,4,None
publisher1_content_3,1,0.1,4,None
publisher2_content_32,1,0.1,4,None
publisher2_content_16,1,0.1,4,None
publisher1_content_25,1,0.1,4,None
publisher2_content_40,1,0.1,4,None
publisher1_content_23,1,0.1,4,None
publisher1_content_21,1,0.1,4,None
publisher1_content_30,1,0.1,4,None
publisher2_content_28,1,0.1,4,None
publisher2_content_14,1,0.1,4,None
publisher2_content_29,1,0.1,4,None
publisher1_content_48,1,0.1,4,None
publisher2_content_38,1,0.1,4,None
publisher1_content_19,1,0.1,4,None
publisher1_content_39,1,0.1,4,None
publisher2_content_3,1,0.1,4,None
publisher2_content_12,1,0.1,4,None
