Content Name,R_count,Popularity,Rank,Feedback
publisher1_content_44,2,0.29,1,None
publisher2_content_43,2,0.29,1,None
publisher1_content_6,2,0.29,1,None
publisher1_content_28,2,0.29,1,None
publisher2_content_48,2,0.29,1,None
publisher1_content_8,2,0.29,1,None
publisher1_content_1,2,0.29,1,None
publisher2_content_33,1,0.1,8,None
publisher1_content_23,1,0.1,8,None
publisher1_content_34,1,0.1,8,None
publisher1_content_2,1,0.1,8,None
publisher1_content_22,1,0.1,8,None
publisher1_content_33,1,0.1,8,None
publisher1_content_19,1,0.1,8,None
publisher1_content_13,1,0.1,8,None
publisher2_content_39,1,0.1,8,None
publisher1_content_39,1,0.1,8,None
publisher1_content_24,1,0.1,8,None
publisher1_content_49,1,0.1,8,None
publisher2_content_36,1,0.1,8,None
publisher2_content_11,1,0.1,8,None
publisher2_content_9,1,0.1,8,None
publisher1_content_5,1,0.1,8,None
publisher2_content_30,1,0.1,8,None
publisher2_content_34,1,0.1,8,None
publisher1_content_43,1,0.1,8,None
publisher1_content_30,1,0.1,8,None
publisher1_content_29,1,0.1,8,None
publisher2_content_10,1,0.1,8,None
publisher2_content_8,1,0.1,8,None
publisher2_content_26,1,0.1,8,None
publisher1_content_15,1,0.1,8,None
publisher2_content_50,1,0.1,8,None
publisher2_content_4,1,0.1,8,None
publisher2_content_21,1,0.1,8,None
publisher2_content_29,1,0.1,8,None
publisher2_content_5,1,0.1,8,None
publisher1_content_25,1,0.1,8,None
