Content Name,R_count,Popularity,Rank,Feedback
publisher1_content_17,2,0.29,1,None
publisher1_content_15,2,0.29,1,None
publisher2_content_50,2,0.29,1,None
publisher2_content_19,2,0.29,1,None
publisher2_content_14,2,0.29,1,None
publisher1_content_41,1,0.1,6,None
publisher2_content_37,1,0.1,6,None
publisher2_content_40,1,0.1,6,None
publisher1_content_2,1,0.1,6,None
publisher2_content_6,1,0.1,6,None
publisher1_content_21,1,0.1,6,None
publisher2_content_35,1,0.1,6,None
publisher1_content_49,1,0.1,6,None
publisher2_content_18,1,0.1,6,None
publisher1_content_10,1,0.1,6,None
publisher2_content_24,1,0.1,6,None
publisher1_content_33,1,0.1,6,None
publisher2_content_49,1,0.1,6,None
publisher2_content_17,1,0.1,6,None
publisher2_content_22,1,0.1,6,None
publisher1_content_31,1,0.1,6,None
publisher2_content_4,1,0.1,6,None
publisher2_content_23,1,0.1,6,None
publisher1_content_3,1,0.1,6,None
publisher2_content_36,1,0.1,6,None
publisher1_content_45,1,0.1,6,None
publisher1_content_30,1,0.1,6,None
publisher1_content_14,1,0.1,6,None
publisher2_content_5,1,0.1,6,None
publisher1_content_44,1,0.1,6,None
publisher1_content_48,1,0.1,6,None
publisher2_content_43,1,0.1,6,None
publisher2_content_13,1,0.1,6,None
publisher1_content_38,1,0.1,6,None
publisher1_content_29,1,0.1,6,None
publisher2_content_45,1,0.1,6,None
