Content Name,R_count,Popularity,Rank,Feedback
publisher2_content_39,2,0.29,1,None
publisher2_content_28,1,0.1,2,None
publisher1_content_20,1,0.1,2,None
publisher1_content_23,1,0.1,2,None
publisher2_content_17,1,0.1,2,None
publisher2_content_44,1,0.1,2,None
publisher2_content_23,1,0.1,2,None
publisher1_content_37,1,0.1,2,None
publisher2_content_35,1,0.1,2,None
publisher1_content_35,1,0.1,2,None
publisher2_content_18,1,0.1,2,None
publisher2_content_30,1,0.1,2,None
publisher1_content_27,1,0.1,2,None
publisher2_content_10,1,0.1,2,None
publisher2_content_8,1,0.1,2,None
publisher2_content_37,1,0.1,2,None
publisher1_content_39,1,0.1,2,None
publisher1_content_45,1,0.1,2,None
publisher2_content_14,1,0.1,2,None
publisher1_content_31,1,0.1,2,None
publisher1_content_46,1,0.1,2,None
publisher2_content_43,1,0.1,2,None
publisher1_content_7,1,0.1,2,None
publisher1_content_49,1,0.1,2,None
publisher2_content_11,1,0.1,2,None
publisher1_content_10,1,0.1,2,None
publisher1_content_40,1,0.1,2,None
publisher1_content_5,1,0.1,2,None
publisher2_content_9,1,0.1,2,None
publisher1_content_17,1,0.1,2,None
publisher1_content_14,1,0.1,2,None
publisher2_content_36,1,0.1,2,None
publisher1_content_25,1,0.1,2,None
publisher1_content_38,1,0.1,2,None
publisher2_content_41,1,0.1,2,None
