Content Name,R_count,Popularity,Rank,Feedback
publisher2_content_25,2,0.29,1,None
publisher1_content_38,2,0.29,1,None
publisher2_content_50,2,0.29,1,None
publisher1_content_39,2,0.29,1,None
publisher2_content_38,2,0.29,1,None
publisher2_content_11,1,0.1,6,None
publisher2_content_19,1,0.1,6,None
publisher2_content_48,1,0.1,6,None
publisher1_content_45,1,0.1,6,None
publisher2_content_13,1,0.1,6,None
publisher2_content_41,1,0.1,6,None
publisher1_content_29,1,0.1,6,None
publisher2_content_36,1,0.1,6,None
publisher2_content_43,1,0.1,6,None
publisher2_content_7,1,0.1,6,None
publisher1_content_44,1,0.1,6,None
publisher2_content_27,1,0.1,6,None
publisher1_content_30,1,0.1,6,None
publisher1_content_2,1,0.1,6,None
publisher1_content_43,1,0.1,6,None
publisher2_content_5,1,0.1,6,None
publisher1_content_40,1,0.1,6,None
publisher2_content_20,1,0.1,6,None
publisher2_content_39,1,0.1,6,None
publisher2_content_26,1,0.1,6,None
publisher2_content_16,1,0.1,6,None
publisher1_content_37,1,0.1,6,None
publisher2_content_21,1,0.1,6,None
publisher1_content_36,1,0.1,6,None
publisher2_content_24,1,0.1,6,None
publisher1_content_15,1,0.1,6,None
publisher2_content_12,1,0.1,6,None
publisher2_content_31,1,0.1,6,None
publisher2_content_49,1,0.1,6,None
publisher2_content_44,1,0.1,6,None
publisher1_content_11,1,0.1,6,None
publisher2_content_35,1,0.1,6,None
publisher1_content_18,1,0.1,6,None
publisher2_content_29,1,0.1,6,None
publisher1_content_25,1,0.1,6,None
publisher1_content_4,1,0.1,6,None
publisher1_content_35,1,0.1,6,None
publisher2_content_40,1,0.1,6,None
publisher1_content_14,1,0.1,6,None
