Simulation Time,Subscribers,Total Requests,Explored Paths (Algo1),Selected Paths (Algo2),Cache Hit Ratio (%),Latency,Algorithm
2025-12-28 16:43:20,2,19,26,25,0.0,0.003933244124597864,Algorithm1&2
2025-12-28 16:43:20,2,38,52,50,0.0,0.0005759827739220736,Algorithm1&2
2025-12-28 16:43:20,2,57,78,74,0.0,0.0016066163465202259,Algorithm1&2
2025-12-28 16:43:20,2,76,104,99,0.0,0.0006950789989863923,Algorithm1&2
2025-12-28 16:43:20,2,95,130,125,0.0,0.0008009206614169027,Algorithm1&2
2025-12-28 16:43:20,2,105,143,138,0.0,0.0001377817852092698,Algorithm1&2
2025-12-28 16:43:20,2,124,170,164,0.8064516129032258,0.0006401687697568197,Algorithm1&2
2025-12-28 16:43:20,2,143,196,190,0.6993006993006993,0.00040706428196966556,Algorithm1&2
2025-12-28 16:43:20,2,162,222,216,0.6172839506172839,0.00018836540385630126,Algorithm1&2
2025-12-28 16:43:20,2,181,248,242,0.5524861878453038,0.0001259573763902726,Algorithm1&2
2025-12-28 16:43:21,2,200,274,267,0.5,0.00015569869227090966,Algorithm1&2
2025-12-28 16:43:21,2,219,300,293,0.45662100456621,0.0002725562650728506,Algorithm1&2
2025-12-28 16:43:21,2,238,326,318,0.42016806722689076,0.00019934689513103026,Algorithm1&2
2025-12-28 16:43:21,2,257,352,341,0.38910505836575876,0.0003817076492409358,Algorithm1&2
2025-12-28 16:43:21,2,267,365,354,0.37453183520599254,0.0003190837251062198,Algorithm1&2
2025-12-28 16:43:21,2,286,391,380,0.34965034965034963,0.00013807216850488291,Algorithm1&2
2025-12-28 16:43:21,2,296,404,393,0.33783783783783783,0.00014139582482338028,Algorithm1&2
2025-12-28 16:43:22,2,315,430,419,0.31746031746031744,0.00023128959273276868,Algorithm1&2
2025-12-28 16:43:22,2,334,456,443,0.29940119760479045,0.00029131098744069293,Algorithm1&2
2025-12-28 16:43:22,2,353,482,469,0.28328611898017,0.00012400942925154404,Algorithm1&2
