Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Publishers
2026-01-01 18:35:45,3,9,0,0.0,0.006383224069190378,2,RandomForest,2
2026-01-01 18:35:45,3,24,0,0.0,0.0019599142479095086,5,RandomForest,2
2026-01-01 18:35:45,3,39,0,2.564102564102564,0.0016972228259946067,9,RandomForest,2
2026-01-01 18:35:45,3,54,0,1.8518518518518516,0.0015764713545970827,12,RandomForest,2
2026-01-01 18:35:46,3,69,0,1.4492753623188406,0.00019369422362652865,15,RandomForest,2
2026-01-01 18:35:46,3,84,0,2.380952380952381,0.0004333610859455168,18,RandomForest,2
2026-01-01 18:35:46,3,99,0,3.0303030303030303,0.0007882352362450903,22,RandomForest,2
2026-01-01 18:35:46,3,109,0,2.7522935779816518,0.0008068557826795713,24,RandomForest,2
2026-01-01 18:35:46,3,124,0,4.032258064516129,0.00030386054140419847,27,RandomForest,2
2026-01-01 18:35:46,3,139,0,3.597122302158273,0.00027877471247450363,30,RandomForest,2
2026-01-01 18:35:46,3,154,0,3.2467532467532463,0.00029636954659175476,33,RandomForest,2
2026-01-01 18:35:46,3,169,0,2.9585798816568047,0.00015302968263436868,36,RandomForest,2
2026-01-01 18:35:46,3,184,0,3.260869565217391,0.0004474146266987892,39,RandomForest,2
2026-01-01 18:35:46,3,199,0,3.5175879396984926,0.00013511110199033552,42,RandomForest,2
2026-01-01 18:35:47,3,214,0,3.2710280373831773,5.4924668821710394e-05,46,RandomForest,2
2026-01-01 18:35:47,3,224,0,3.125,0.0002691652389329555,48,RandomForest,2
2026-01-01 18:35:47,3,235,0,2.9787234042553195,0.00016631011426445513,50,RandomForest,2
2026-01-01 18:35:47,3,250,0,2.8000000000000003,0.0001014421802825558,53,RandomForest,2
2026-01-01 18:35:47,3,265,0,2.6415094339622645,6.788614519275163e-05,57,RandomForest,2
2026-01-01 18:35:47,3,280,0,2.5,0.00031474707160532414,60,RandomForest,2
