Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Publishers
2025-12-27 18:42:44,2,11,0,0.0,0.0009414795437650339,2,RandomForest,3
2025-12-27 18:42:44,2,22,0,0.0,0.003386821073745436,4,RandomForest,3
2025-12-27 18:42:44,2,33,0,0.0,0.0027432308435661234,6,RandomForest,3
2025-12-27 18:42:44,2,44,0,0.0,0.0011764737774032292,8,RandomForest,3
2025-12-27 18:42:44,2,55,0,0.0,0.0014719823967865833,10,RandomForest,3
2025-12-27 18:42:44,2,66,0,0.0,0.0013228696177012419,12,RandomForest,3
2025-12-27 18:42:44,2,77,0,1.2987012987012987,0.0010072143742027547,15,RandomForest,3
2025-12-27 18:42:44,2,88,0,1.1363636363636365,0.0007387440744221085,17,RandomForest,3
2025-12-27 18:42:44,2,93,0,1.0752688172043012,0.00021282677678580975,18,RandomForest,3
2025-12-27 18:42:45,2,104,0,0.9615384615384616,0.0009084155792723094,20,RandomForest,3
