Policy,Iteration,Total Requests,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,8,0.0,2.086162567138672e-07,-3.5
LRU,2,16,0.0,2.086162567138672e-07,-3.5
LRU,3,24,33.33333333333333,2.980232238769531e-07,-2.3333333333333335
LRU,4,32,25.0,2.682209014892578e-07,-2.625
LRU,5,40,20.0,2.4437904357910154e-07,-2.8
LRU,6,48,33.33333333333333,2.582867940266927e-07,-2.3333333333333335
LRU,7,56,42.857142857142854,2.469335283551897e-07,-2.0
LRU,8,64,50.0,2.4959444999694824e-07,-1.75
LRU,9,72,55.55555555555556,2.384185791015625e-07,-1.5555555555555558
LRU,10,80,60.0,2.3245811462402346e-07,-1.4
LRU,11,88,54.54545454545454,2.2216276689009234e-07,-1.5909090909090908
LRU,12,96,50.0,2.1358331044514977e-07,-1.75
LRU,13,104,53.84615384615385,2.109087430513822e-07,-1.6153846153846154
LRU,14,112,50.0,2.086162567138672e-07,-1.75
LRU,15,120,53.333333333333336,2.0662943522135417e-07,-1.6333333333333333
LRU,16,128,56.25,2.086162567138672e-07,-1.53125
LRU,17,136,58.82352941176471,2.1212241228889015e-07,-1.4411764705882353
LRU,18,144,55.55555555555556,2.053048875596788e-07,-1.5555555555555558
LRU,19,152,57.89473684210527,2.0704771343030428e-07,-1.4736842105263155
LRU,20,160,60.0,2.0563602447509764e-07,-1.4
LRU,21,168,61.904761904761905,2.1145457313174292e-07,-1.3333333333333335
LRU,22,176,59.09090909090909,2.0997090773148971e-07,-1.4318181818181819
LRU,23,184,60.86956521739131,2.0991200986115827e-07,-1.3695652173913044
LRU,24,192,58.333333333333336,2.0737449328104657e-07,-1.4583333333333333
LRU,25,200,56.00000000000001,2.014636993408203e-07,-1.54
LRU,26,208,53.84615384615385,2.0173879770132211e-07,-1.6153846153846154
LRU,27,216,55.55555555555556,2.0309730812355324e-07,-1.5555555555555558
LRU,28,224,53.57142857142857,2.0116567611694336e-07,-1.625
LRU,29,232,51.724137931034484,2.0039492640002021e-07,-1.6896551724137931
LRU,30,240,53.333333333333336,2.016623814900716e-07,-1.6333333333333333
LRU,31,248,54.83870967741935,2.0284806528399068e-07,-1.5806451612903225
LRU,32,256,56.25,2.0209699869155884e-07,-1.53125
LRU,33,264,57.57575757575758,2.0139145128654712e-07,-1.4848484848484849
LRU,34,272,58.82352941176471,2.033570233513327e-07,-1.4411764705882353
LRU,35,280,60.0,2.0606177193777903e-07,-1.4
LRU,36,288,58.333333333333336,2.061327298482259e-07,-1.4583333333333333
LRU,37,296,59.45945945945946,2.0619985219594596e-07,-1.4189189189189189
LRU,38,304,60.526315789473685,2.062634417885228e-07,-1.381578947368421
LRU,39,312,58.97435897435898,2.0555960826384717e-07,-1.435897435897436
LRU,40,320,60.0,2.0638108253479e-07,-1.4
LRU,41,328,60.97560975609756,2.0498182715439215e-07,-1.3658536585365855
LRU,42,336,59.523809523809526,2.0364920298258465e-07,-1.4166666666666667
LRU,43,344,58.139534883720934,2.0099240680073581e-07,-1.4651162790697674
LRU,44,352,59.09090909090909,2.0252032713456586e-07,-1.4318181818181819
LRU,45,360,60.0,2.0464261372884116e-07,-1.4
LRU,46,368,60.86956521739131,2.0602475041928497e-07,-1.3695652173913044
LRU,47,376,61.702127659574465,2.0671398081678028e-07,-1.3404255319148937
LRU,48,384,62.5,2.0799537499745685e-07,-1.3125
LRU,49,392,63.26530612244898,2.0922446737484053e-07,-1.2857142857142856
LRU,50,400,62.0,2.080202102661133e-07,-1.3299999999999998
LRU,51,408,62.745098039215684,2.068631789263557e-07,-1.3039215686274512
LRU,52,416,63.46153846153846,2.057506487919734e-07,-1.2788461538461537
LRU,53,424,64.15094339622641,2.058047168659714e-07,-1.2547169811320753
LRU,54,432,64.81481481481481,2.053048875596788e-07,-1.2314814814814816
LRU,55,440,65.45454545454545,2.0536509427157315e-07,-1.209090909090909
LRU,56,448,64.28571428571429,2.0435878208705359e-07,-1.25
LRU,57,456,64.91228070175438,2.0495632238555373e-07,-1.2280701754385965
LRU,58,464,65.51724137931035,2.045055915569437e-07,-1.206896551724138
LRU,59,472,66.10169491525424,2.0457526384773902e-07,-1.1864406779661016
LRU,60,480,65.0,2.0513931910196941e-07,-1.225
LRU,61,488,65.57377049180327,2.0519631807921362e-07,-1.2049180327868851
LRU,62,496,66.12903225806451,2.0621284361808532e-07,-1.185483870967742
LRU,63,504,66.66666666666666,2.086162567138672e-07,-1.1666666666666667
LRU,64,512,67.1875,2.086162567138672e-07,-1.1484375
LRU,65,520,67.6923076923077,2.086162567138672e-07,-1.1307692307692307
LRU,66,528,68.18181818181817,2.090678070530747e-07,-1.1136363636363635
LRU,67,536,68.65671641791045,2.090610674957731e-07,-1.0970149253731343
LRU,68,544,69.11764705882352,2.086162567138672e-07,-1.0808823529411764
LRU,69,552,68.11594202898551,2.0775242128233978e-07,-1.1159420289855073
LRU,70,560,68.57142857142857,2.0819050925118583e-07,-1.0999999999999999
LRU,71,568,67.6056338028169,2.0693725263568717e-07,-1.1338028169014085
LRU,72,576,68.05555555555556,2.0737449328104657e-07,-1.1180555555555556
LRU,73,584,67.12328767123287,2.0657500175580587e-07,-1.150684931506849
LRU,74,592,67.56756756756756,2.0619985219594593e-07,-1.135135135135135
LRU,75,600,66.66666666666666,2.0464261372884116e-07,-1.1666666666666667
LRU,76,608,67.10526315789474,2.0547917014674138e-07,-1.151315789473684
LRU,77,616,66.23376623376623,2.0474582523494574e-07,-1.1818181818181819
LRU,78,624,66.66666666666666,2.0517752720759466e-07,-1.1666666666666667
LRU,79,632,65.82278481012658,2.04089321667635e-07,-1.1962025316455696
LRU,80,640,66.25,2.0489096641540527e-07,-1.18125
LRU,81,648,66.66666666666666,2.0456902774763697e-07,-1.1666666666666667
LRU,82,656,67.07317073170732,2.0498182715439215e-07,-1.152439024390244
LRU,83,664,66.26506024096386,2.0466655133718468e-07,-1.180722891566265
LRU,84,672,66.66666666666666,2.0471357163928803e-07,-1.1666666666666667
LRU,85,680,67.05882352941175,2.0511010113884422e-07,-1.1529411764705881
LRU,86,688,67.44186046511628,2.0515087038971656e-07,-1.1395348837209303
LRU,87,696,67.81609195402298,2.045055915569437e-07,-1.1264367816091954
LRU,88,704,68.18181818181817,2.0489096641540527e-07,-1.1136363636363635
LRU,89,712,68.53932584269663,2.0426310849993415e-07,-1.101123595505618
LRU,90,720,68.88888888888889,2.0398033989800344e-07,-1.0888888888888888
LRU,91,728,68.13186813186813,2.037037859906207e-07,-1.1153846153846154
LRU,92,736,68.47826086956522,2.0375718241152557e-07,-1.1032608695652175
LRU,93,744,67.74193548387096,2.0316852036342824e-07,-1.129032258064516
LRU,94,752,67.02127659574468,2.0227533705691072e-07,-1.1542553191489362
LRU,95,760,66.3157894736842,2.010872489527652e-07,-1.1789473684210525
LRU,96,768,66.66666666666666,2.017865578333537e-07,-1.1666666666666667
LRU,97,776,67.0103092783505,2.0154972666317655e-07,-1.1546391752577319
LRU,98,784,67.3469387755102,2.016218341126734e-07,-1.1428571428571428
LRU,99,792,67.67676767676768,2.013914512865471e-07,-1.1313131313131315
LRU,100,800,68.0,2.014636993408203e-07,-1.12
LFU,1,8,0.0,2.682209014892578e-07,-3.5
LFU,2,16,0.0,1.9371509552001953e-07,-3.5
LFU,3,24,0.0,1.6887982686360675e-07,-3.5
LFU,4,32,0.0,1.341104507446289e-07,-3.5
LFU,5,40,20.0,1.9073486328125e-07,-2.8
LFU,6,48,33.33333333333333,1.9371509552001953e-07,-2.3333333333333335
LFU,7,56,42.857142857142854,2.0010130746023996e-07,-2.0
LFU,8,64,37.5,1.8998980522155762e-07,-2.1875
LFU,9,72,44.44444444444444,1.9868214925130207e-07,-1.9444444444444442
LFU,10,80,40.0,1.877546310424805e-07,-2.1
LFU,11,88,45.45454545454545,1.89651142467152e-07,-1.9090909090909092
LFU,12,96,41.66666666666667,1.88748041788737e-07,-2.0416666666666665
LFU,13,104,38.46153846153847,1.811064206636869e-07,-2.1538461538461537
LFU,14,112,35.714285714285715,1.7668519701276505e-07,-2.25
LFU,15,120,40.0,1.8477439880371092e-07,-2.1
LFU,16,128,43.75,1.862645149230957e-07,-1.96875
LFU,17,136,41.17647058823529,1.8056701211368336e-07,-2.058823529411765
LFU,18,144,44.44444444444444,1.8543667263454864e-07,-1.9444444444444442
LFU,19,152,47.368421052631575,1.850881074604235e-07,-1.8421052631578947
LFU,20,160,50.0,1.862645149230957e-07,-1.75
LFU,21,168,52.38095238095239,1.8874804178873694e-07,-1.6666666666666667
LFU,22,176,54.54545454545454,1.9236044450239703e-07,-1.5909090909090908
LFU,23,184,52.17391304347826,1.9047571265179175e-07,-1.673913043478261
LFU,24,192,50.0,1.8998980522155762e-07,-1.75
LFU,25,200,48.0,1.8715858459472654e-07,-1.8199999999999998
LFU,26,208,46.15384615384615,1.8683763650747446e-07,-1.8846153846153846
LFU,27,216,48.148148148148145,1.9205941094292533e-07,-1.8148148148148147
LFU,28,224,46.42857142857143,1.9158635820661273e-07,-1.875
LFU,29,232,48.275862068965516,1.9217359608617324e-07,-1.8103448275862069
LFU,30,240,50.0,1.9570191701253255e-07,-1.75
LFU,31,248,51.61290322580645,1.9707987385411417e-07,-1.6935483870967745
LFU,32,256,53.125,1.9650906324386597e-07,-1.640625
LFU,33,264,54.54545454545454,1.9777904857288708e-07,-1.5909090909090908
LFU,34,272,55.88235294117647,2.0160394556382123e-07,-1.5441176470588238
LFU,35,280,57.14285714285714,2.0265579223632815e-07,-1.4999999999999998
LFU,36,288,58.333333333333336,2.0364920298258465e-07,-1.4583333333333333
LFU,37,296,56.75675675675676,2.0297797950538428e-07,-1.5135135135135136
LFU,38,304,55.26315789473685,2.015578119378341e-07,-1.5657894736842104
LFU,39,312,56.41025641025641,2.0250295981382712e-07,-1.5256410256410255
LFU,40,320,55.00000000000001,2.0116567611694336e-07,-1.5749999999999997
LFU,41,328,56.09756097560976,2.013473975949171e-07,-1.5365853658536586
LFU,42,336,57.14285714285714,2.0152046566917783e-07,-1.4999999999999998
LFU,43,344,58.139534883720934,2.0237856133039606e-07,-1.4651162790697674
LFU,44,352,59.09090909090909,2.0590695467862216e-07,-1.4318181818181819
LFU,45,360,60.0,2.059671613905165e-07,-1.4
LFU,46,368,58.69565217391305,2.0537687384563943e-07,-1.4456521739130435
LFU,47,376,57.446808510638306,2.0544579688538895e-07,-1.4893617021276593
LFU,48,384,58.333333333333336,2.0613272984822592e-07,-1.4583333333333333
LFU,49,392,59.183673469387756,2.0739983539192045e-07,-1.4285714285714284
LFU,50,400,60.0,2.086162567138672e-07,-1.4
LFU,51,408,58.82352941176471,2.0861625671386716e-07,-1.4411764705882353
LFU,52,416,59.61538461538461,2.0804313512948843e-07,-1.4134615384615385
LFU,53,424,60.37735849056604,2.0749164077470886e-07,-1.3867924528301887
LFU,54,432,61.111111111111114,2.0972004643192996e-07,-1.3611111111111112
LFU,55,440,61.81818181818181,2.091581171209162e-07,-1.3363636363636364
LFU,56,448,62.5,2.080840723855155e-07,-1.3125
LFU,57,456,63.1578947368421,2.0809340895267954e-07,-1.289473684210526
LFU,58,464,63.793103448275865,2.086162567138672e-07,-1.2672413793103448
LFU,59,472,64.40677966101694,2.0962650493039923e-07,-1.2457627118644068
LFU,60,480,65.0,2.106030782063802e-07,-1.225
LFU,61,488,65.57377049180327,2.1057050736224065e-07,-1.2049180327868851
LFU,62,496,64.51612903225806,2.0909693933302355e-07,-1.2419354838709677
LFU,63,504,65.07936507936508,2.0956236218649243e-07,-1.222222222222222
LFU,64,512,65.625,2.0954757928848267e-07,-1.203125
LFU,65,520,66.15384615384615,2.113672403188852e-07,-1.1846153846153846
LFU,66,528,66.66666666666666,2.113255587491122e-07,-1.1666666666666667
LFU,67,536,65.67164179104478,2.103954998414908e-07,-1.2014925373134329
LFU,68,544,66.17647058823529,2.1080760394825654e-07,-1.1838235294117645
LFU,69,552,66.66666666666666,2.1077584529268567e-07,-1.1666666666666667
LFU,70,560,65.71428571428571,2.1117074148995535e-07,-1.2
LFU,71,568,66.19718309859155,2.1197426487022722e-07,-1.1830985915492955
LFU,72,576,65.27777777777779,2.094440990024143e-07,-1.215277777777778
LFU,73,584,65.75342465753424,2.0943275869709172e-07,-1.1986301369863013
LFU,74,592,66.21621621621621,2.1022719305914803e-07,-1.1824324324324325
LFU,75,600,66.66666666666666,2.102057139078776e-07,-1.1666666666666667
LFU,76,608,67.10526315789474,2.0979266417653935e-07,-1.151315789473684
LFU,77,616,66.23376623376623,2.0822921356597504e-07,-1.1818181818181819
LFU,78,624,66.66666666666666,2.093804188263722e-07,-1.1666666666666667
LFU,79,632,65.82278481012658,2.0748452295230913e-07,-1.1962025316455696
LFU,80,640,66.25,2.0749866962432862e-07,-1.18125
LFU,81,648,66.66666666666666,2.0677660718376253e-07,-1.1666666666666667
LFU,82,656,65.85365853658537,2.0679904193412968e-07,-1.1951219512195124
LFU,83,664,65.06024096385542,2.061028078377965e-07,-1.2228915662650601
LFU,84,672,65.47619047619048,2.061327298482259e-07,-1.2083333333333333
LFU,85,680,64.70588235294117,2.0546071669634652e-07,-1.2352941176470589
LFU,86,688,65.11627906976744,2.058439476545467e-07,-1.2209302325581395
LFU,87,696,65.51724137931035,2.058758132759182e-07,-1.206896551724138
LFU,88,704,65.9090909090909,2.065842801874334e-07,-1.1931818181818181
LFU,89,712,66.29213483146067,2.0928597182370305e-07,-1.1797752808988764
LFU,90,720,65.55555555555556,2.0828511979844835e-07,-1.2055555555555555
LFU,91,728,65.93406593406593,2.0927125281030005e-07,-1.1923076923076923
LFU,92,736,66.30434782608695,2.099120098611583e-07,-1.1793478260869565
LFU,93,744,66.66666666666666,2.1021853211105508e-07,-1.1666666666666667
LFU,94,752,65.95744680851064,2.1020148662810628e-07,-1.1914893617021276
LFU,95,760,65.26315789473685,2.0924367402729235e-07,-1.2157894736842105
